solution_index,f1_uncompleted_profit_ratio,f2_maneuver_cost,f3_load_imbalance,scheduled_nodes,scheduled_tasks,task_completion_rate,node_ids
0,0.09104046242774566,804.9532386275923,2.2271057451320084,89,89,0.89,5 6 13 14 24 31 32 35 41 53 55 62 70 80 83 85 97 103 115 125 130 140 141 148 156 158 187 189 197 203 207 219 221 222 242 247 262 266 269 294 299 301 325 327 328 339 348 354 361 370 375 391 401 407 412 417 420 433 447 456 458 463 467 473 504 507 509 516 522 536 550 562 571 587 589 591 594 618 622 630 655 662 671 672 675 680 683 697 700
1,0.08670520231213874,832.268561489137,1.469693845669907,89,89,0.89,7 15 19 24 27 32 38 41 65 70 80 95 97 102 111 117 120 129 131 146 159 182 190 194 203 229 231 234 237 240 242 252 264 266 269 282 312 317 322 327 329 332 339 350 354 356 360 362 366 367 385 388 389 398 402 437 451 452 456 466 472 478 479 496 501 523 528 541 550 556 557 559 560 569 571 574 577 586 591 594 598 616 622 624 627 641 645 678 697
2,0.054913294797687806,842.8923872879801,0.8,93,93,0.93,1 16 31 41 47 53 67 70 77 80 85 87 97 106 109 110 125 126 129 139 145 149 151 153 162 164 168 169 174 184 204 207 219 231 240 242 257 271 282 288 291 318 320 328 332 339 360 361 365 366 376 385 392 395 403 409 412 431 440 441 447 452 456 459 465 468 483 487 491 504 516 521 528 533 557 561 562 575 578 591 607 612 617 618 619 632 633 635 655 684 685 692 697
3,0.053468208092485536,831.9273564000496,2.8000000000000003,93,93,0.93,19 23 26 32 33 41 46 53 56 63 70 74 80 82 85 86 97 109 115 124 131 139 140 141 148 159 162 187 198 203 208 213 221 222 242 251 255 269 282 293 308 320 322 328 334 339 357 365 370 375 382 398 402 407 434 437 440 452 456 457 458 461 467 468 490 496 518 522 523 527 529 531 537 540 545 558 563 568 571 578 590 613 614 622 630 641 647 655 660 666 693 694 697
4,0.06213872832369938,810.4896897588809,1.624807680927192,92,92,0.92,7 19 33 36 41 46 53 58 60 61 68 70 80 85 97 98 101 128 139 140 145 149 156 162 164 170 174 187 190 198 213 220 234 242 250 251 262 269 278 294 299 311 314 316 322 325 328 346 354 365 369 375 383 394 398 399 405 411 412 423 427 436 448 451 456 463 486 489 496 500 504 522 525 530 545 562 571 578 607 615 617 618 641 647 651 660 670 674 680 685 692 697
5,0.046242774566473965,851.0791402066359,0.4,94,94,0.94,11 16 19 21 32 41 47 53 61 62 66 69 70 83 97 109 110 115 136 140 145 148 164 179 185 189 195 197 203 216 223 224 242 243 251 267 269 274 299 305 308 317 322 346 360 366 367 369 373 375 380 391 398 402 410 421 434 436 439 444 452 456 461 468 472 476 482 493 496 511 522 539 545 550 557 562 564 585 590 591 594 607 615 636 639 641 659 667 670 675 680 685 689 696
6,0.039017341040462394,846.3214862334087,0.8944271909999159,95,95,0.95,8 19 28 33 41 51 53 55 61 70 80 83 85 91 97 100 106 112 118 125 140 145 151 152 159 164 174 178 181 189 195 199 206 213 216 231 251 269 294 305 317 320 322 325 326 329 346 358 363 369 375 384 385 403 407 410 411 421 424 425 436 439 444 454 472 479 483 492 500 525 529 533 538 545 552 556 557 561 568 570 576 586 590 592 594 627 642 647 660 662 672 680 685 695 696
7,0.039017341040462394,833.4016687634672,1.4142135623730951,95,95,0.95,2 14 16 18 27 38 42 46 53 55 70 79 83 85 91 97 98 109 127 128 131 140 159 164 172 174 186 190 199 203 212 219 221 230 233 242 264 269 282 288 315 322 329 337 343 344 354 362 366 371 375 390 391 394 395 402 413 428 434 439 442 451 452 456 457 461 468 473 478 516 520 521 536 539 541 550 556 562 568 571 578 591 607 625 628 631 641 643 668 670 672 675 697 699 700
8,0.0,884.3323169548939,2.0976176963403033,100,100,1.0,19 27 32 33 41 47 53 56 61 62 70 72 81 85 97 100 105 106 109 111 125 136 140 141 148 151 152 153 159 179 184 190 203 207 211 219 221 222 236 240 245 254 269 284 289 294 311 317 322 325 334 347 365 366 369 371 372 373 391 400 403 408 410 411 414 440 442 444 450 452 456 461 467 472 480 482 493 536 545 551 556 558 559 563 564 568 580 588 594 614 635 641 643 660 665 672 675 680 685 696
9,0.021676300578034713,842.4194495107749,1.9595917942265424,97,97,0.97,1 11 15 23 27 32 41 53 61 62 70 80 83 97 102 119 125 129 131 145 148 156 158 182 187 190 192 195 201 203 216 219 222 224 242 251 269 275 278 291 312 317 320 322 326 346 348 366 369 370 375 391 402 418 421 424 434 438 443 450 452 460 466 472 476 479 494 496 501 508 517 525 529 533 545 550 551 564 568 575 578 588 591 592 594 629 641 655 662 665 668 670 672 680 684 685 697
10,0.021676300578034713,854.5738123554889,1.2,97,97,0.97,12 19 32 33 36 55 56 61 77 80 85 97 100 103 106 109 110 111 129 139 140 145 148 149 151 159 164 168 179 181 190 199 203 213 214 219 222 236 246 262 301 311 317 322 325 329 333 337 344 347 354 362 365 369 373 394 395 398 418 420 423 424 426 436 438 439 448 452 457 470 472 496 503 530 540 544 545 547 550 552 568 578 588 592 602 614 625 630 647 651 660 662 675 683 692 695 697
11,0.033236994219653204,847.6072535606212,0.7483314773547883,96,96,0.96,18 27 28 31 41 47 53 58 61 70 72 74 76 87 97 100 105 109 125 140 145 148 149 162 170 174 181 190 197 206 208 209 213 222 227 228 251 262 293 299 307 320 322 325 326 332 334 336 350 365 373 375 391 395 400 407 411 412 438 440 446 456 458 461 472 501 504 518 521 527 533 536 545 548 549 553 556 558 561 562 564 568 571 591 594 621 642 643 651 660 665 670 675 685 696 700
12,0.054913294797687806,824.8161980452109,1.7435595774162693,93,93,0.93,12 16 19 22 28 31 32 41 46 53 62 67 68 72 80 81 85 95 97 109 110 140 141 145 159 164 183 186 190 195 203 207 219 222 236 242 243 245 269 288 296 322 329 334 339 352 354 361 365 370 391 398 405 406 407 411 412 434 436 448 452 456 459 460 463 467 479 501 507 509 519 522 532 539 540 549 558 562 564 571 578 586 591 594 615 622 655 670 675 680 687 697 700
