task_id,coord_1,coord_2,task_type,duration,profit
0,48.7106,83.0587,2,27.0,8.0
1,34.0627,119.5414,6,22.0,6.0
2,5.4387,117.8781,2,22.0,7.0
3,7.6733,118.3128,7,15.0,9.0
4,24.2359,100.2937,2,18.0,5.0
5,11.3741,95.1998,9,18.0,7.0
6,33.3939,128.063,3,29.0,8.0
7,5.1778,92.0662,4,18.0,6.0
8,39.2546,97.2402,6,25.0,6.0
9,38.0492,106.5434,2,22.0,6.0
10,50.8708,104.0693,5,27.0,9.0
11,25.9659,130.8721,8,25.0,8.0
12,15.5628,105.3221,5,28.0,5.0
13,9.5529,120.7265,6,25.0,6.0
14,41.7848,103.2516,7,24.0,7.0
15,4.0357,119.4982,5,28.0,9.0
16,33.4213,125.789,2,27.0,5.0
17,7.5029,78.5092,4,16.0,5.0
18,6.9511,109.1789,9,22.0,9.0
19,12.3196,101.3714,3,25.0,8.0
20,48.2772,124.5439,1,18.0,8.0
21,25.6611,124.7901,7,20.0,7.0
22,37.2173,76.6749,8,26.0,7.0
23,21.572,114.5538,9,27.0,8.0
24,4.9619,113.9981,5,24.0,6.0
25,11.6357,131.6118,6,25.0,6.0
26,30.3929,78.8291,3,17.0,9.0
27,40.468,110.3396,3,16.0,7.0
28,14.3444,117.2894,9,25.0,6.0
29,3.8887,122.9077,3,29.0,5.0
30,27.6914,113.2258,9,15.0,6.0
31,14.1121,84.8442,10,28.0,5.0
32,26.818,83.0686,5,17.0,6.0
33,32.3598,127.0665,2,27.0,6.0
34,40.4556,108.7196,1,19.0,9.0
35,18.0541,73.6819,3,20.0,5.0
36,20.0459,132.8612,6,23.0,6.0
37,46.8714,78.6721,8,28.0,9.0
38,30.5978,115.7772,1,28.0,5.0
39,5.9539,108.9432,4,21.0,5.0
40,8.8333,131.4275,7,25.0,5.0
41,47.9251,94.5299,2,18.0,5.0
42,13.5439,124.1826,7,26.0,8.0
43,26.9336,110.0203,2,27.0,7.0
44,27.633,74.0501,3,29.0,6.0
45,4.808,114.0441,6,19.0,7.0
46,38.1014,106.9506,2,18.0,7.0
47,21.3564,90.8003,5,22.0,5.0
48,28.9297,126.6068,9,27.0,6.0
49,37.9457,130.0882,9,19.0,9.0
50,25.1036,120.2971,10,29.0,9.0
51,7.9581,75.2677,2,22.0,7.0
52,13.7217,77.3731,2,26.0,9.0
53,35.2517,112.1693,10,18.0,6.0
54,12.1,81.7222,8,24.0,8.0
55,32.9607,83.2421,8,25.0,6.0
56,7.2345,97.8179,9,20.0,7.0
57,48.6871,110.6064,8,20.0,7.0
58,19.4666,122.564,4,28.0,5.0
59,25.2855,78.7938,7,29.0,6.0
60,5.3046,116.4907,2,15.0,5.0
61,17.8352,83.1239,8,18.0,5.0
62,49.423,93.0225,6,16.0,8.0
63,43.0401,114.2996,1,19.0,5.0
64,3.9131,91.0598,1,27.0,9.0
65,20.7967,87.3685,5,22.0,5.0
66,28.1325,83.8035,4,21.0,6.0
67,20.9922,94.3321,8,18.0,8.0
68,40.2505,95.3617,5,19.0,9.0
69,52.7812,117.9399,5,17.0,5.0
70,40.8692,120.1144,9,28.0,5.0
71,40.2547,127.7624,2,17.0,8.0
72,5.8614,111.3663,4,17.0,8.0
73,40.4201,125.4076,1,28.0,9.0
74,25.2634,99.8815,7,23.0,8.0
75,35.2783,74.2256,4,28.0,7.0
76,33.3468,78.0885,5,21.0,6.0
77,38.8705,91.4198,6,19.0,5.0
78,25.3569,83.8269,1,22.0,6.0
79,8.2785,84.795,4,23.0,9.0
80,9.1082,125.4177,7,17.0,7.0
81,18.468,86.37,4,17.0,9.0
82,39.2334,132.6339,6,25.0,6.0
83,51.621,84.0481,8,28.0,5.0
84,25.0702,107.9634,4,27.0,9.0
85,16.241,128.4509,3,17.0,6.0
86,25.4492,101.7806,3,15.0,9.0
87,39.6653,127.7769,4,15.0,9.0
88,27.7288,79.5786,3,21.0,7.0
89,25.662,102.2507,3,18.0,7.0
90,49.0718,90.5329,5,20.0,7.0
91,29.9721,74.5827,3,18.0,6.0
92,22.2589,74.7176,1,28.0,8.0
93,15.2495,129.9946,1,27.0,9.0
94,5.9736,81.7839,1,29.0,9.0
95,19.5881,80.9307,9,20.0,8.0
96,41.8654,114.0772,8,23.0,9.0
97,10.8385,79.2819,4,22.0,8.0
98,38.3464,115.0342,8,27.0,9.0
99,26.2975,85.2012,9,27.0,7.0
