node_id,task_id,sat_id,window_id,start,end,duration,profit,task_duration,coord_1,coord_2,roll,pitch,yaw,end_roll,end_pitch,end_yaw
0,0,1,0,38986.822,39181.675,194.9,7.0,22.0,44.0026,130.6604,35.23,45.0,0.0,35.565864,38.60873999999996,0.0
1,0,1,1,68587.795,68781.433,193.6,7.0,22.0,44.0026,130.6604,32.454,45.0,0.0,33.52177499999992,37.84944000000064,0.0
2,1,1,0,38636.047,38799.433,163.4,5.0,29.0,22.1216,120.1638,-15.121,45.0,0.0,-16.583302999999933,33.063406000000676,0.0
3,1,1,1,74667.876,74821.849,154.0,5.0,29.0,22.1216,120.1638,7.583,45.0,0.0,8.95617200000018,32.339091999997954,0.0
4,2,1,0,50145.186,50310.655,165.5,8.0,16.0,33.2626,75.7384,21.668,45.0,0.0,21.53195399999998,39.54076199999942,0.0
5,3,1,0,74677.307,74717.563,40.3,6.0,18.0,26.1132,109.9006,-45.0,-33.187,0.0,-44.137342999999966,-39.04948600000021,0.0
6,4,1,0,44683.892,44855.103,171.2,9.0,15.0,41.0869,112.8047,-20.72,45.0,0.0,-21.378355999999993,39.74458000000007,0.0
7,4,1,1,74314.818,74333.558,18.7,9.0,15.0,41.0869,112.8047,44.001,45.0,0.0,44.809535999999966,41.305048000000184,0.0
8,5,1,0,50227.04,50385.518,158.5,7.0,28.0,36.8133,79.6725,13.857,45.0,0.0,13.34811999999998,33.81743999999958,0.0
9,5,1,1,79985.509,80172.313,186.8,7.0,28.0,36.8133,79.6725,-33.589,45.0,0.0,-33.859545000000026,36.105615999997944,0.0
10,6,1,0,38651.343,38806.609,155.3,7.0,23.0,24.0073,118.6767,10.103,45.0,0.0,9.433366999999977,35.89547599999965,0.0
11,6,1,1,74630.595,74783.131,152.5,7.0,23.0,24.0073,118.6767,4.387,45.0,0.0,5.405180000000051,35.38306999999943,0.0
12,8,1,0,44822.341,44978.028,155.7,5.0,29.0,48.2858,118.8672,0.757,45.0,0.0,0.11715699999999196,32.80604399999982,0.0
13,8,1,1,68462.75,68616.792,154.0,5.0,29.0,48.2858,118.8672,-0.542,45.0,0.0,0.11224999999999999,32.6215,0.0
14,9,1,0,50384.762,50563.903,179.1,7.0,16.0,42.4024,91.3493,-25.298,45.0,0.0,-26.018766000000106,39.61053599999909,0.0
15,10,1,0,38661.797,38700.4,38.6,7.0,23.0,28.9827,116.5211,44.192,45.0,0.0,44.73193999999997,39.60138900000035,0.0
16,10,1,1,74543.097,74703.04,159.9,7.0,23.0,28.9827,116.5211,14.453,45.0,0.0,15.571558999999732,35.73682800000272,0.0
17,11,1,0,74879.126,75041.137,162.0,8.0,25.0,10.832,127.3657,17.147,45.0,0.0,18.541678000000203,34.80176399999813,0.0
18,12,1,0,74775.056,74937.879,162.8,9.0,20.0,16.5612,124.3922,17.627,45.0,0.0,18.729967999999833,37.190744000001416,0.0
19,13,1,0,74222.95,74390.574,167.6,5.0,23.0,45.1986,102.8028,19.854,45.0,0.0,20.811049999999884,36.26800000000128,0.0
20,14,1,0,44521.267,44686.679,165.4,5.0,27.0,35.5176,101.4797,21.367,45.0,0.0,21.116529000000003,34.98665100000008,0.0
21,14,1,1,74496.061,74526.251,30.2,5.0,27.0,35.5176,101.4797,-45.0,-36.854,0.0,-43.643644999999914,-44.250518000000355,0.0
22,15,1,1,50681.453,50881.587,200.1,9.0,15.0,52.8642,114.6878,-34.039,45.0,0.0,-34.64621400000005,40.62894599999957,0.0
23,15,1,3,68376.187,68542.813,166.6,9.0,15.0,52.8642,114.6878,18.8,45.0,0.0,19.326358000000184,39.64657399999787,0.0
24,16,1,0,1003.155,1186.811,183.7,9.0,22.0,21.5222,74.1901,29.162,45.0,0.0,30.408215,37.25838000000001,0.0
25,16,1,1,49965.668,50161.175,195.5,9.0,22.0,21.5222,74.1901,-32.017,45.0,0.0,-33.24173599999989,37.783836000000804,0.0
26,17,1,0,50281.281,50453.696,172.4,9.0,15.0,37.7396,85.3677,-21.514,45.0,0.0,-22.212364000000118,39.76025299999896,0.0
27,17,1,1,80038.998,80197.103,158.1,9.0,15.0,37.7396,85.3677,11.658,45.0,0.0,12.290918000000282,39.29884199999711,0.0
28,18,1,0,1224.198,1399.321,175.1,8.0,22.0,9.3651,80.1788,25.489,45.0,0.0,26.776890000000005,36.83605799999996,0.0
29,20,1,0,38555.288,38742.936,187.6,7.0,28.0,17.5668,119.1765,-29.164,45.0,0.0,-30.719688000000023,35.0134639999998,0.0
30,20,1,1,74711.202,74880.493,169.3,7.0,28.0,17.5668,119.1765,-27.434,45.0,0.0,-27.214373999999935,35.00893799999794,0.0
31,21,1,1,74963.45,75114.263,150.8,5.0,20.0,5.2496,127.7623,-8.917,45.0,0.0,-8.19590000000011,36.967850000001356,0.0
32,22,1,0,38717.105,38789.382,72.3,8.0,28.0,26.0922,127.2104,-41.677,45.0,0.0,-43.185145000000155,37.224504999998985,0.0
33,23,1,0,44186.079,44389.337,203.3,6.0,21.0,15.5695,94.9108,-34.467,45.0,0.0,-35.67226599999989,38.393876000000745,0.0
34,23,1,1,80389.946,80583.829,193.9,6.0,21.0,15.5695,94.9108,-37.563,45.0,0.0,-37.77367599999998,39.050280000001194,0.0
35,24,1,0,44502.368,44672.549,170.2,9.0,24.0,34.8922,100.4657,24.862,45.0,0.0,24.75768799999998,36.6414879999991,0.0
36,25,1,0,68914.115,68981.795,67.7,6.0,16.0,29.5352,131.4238,-45.0,-21.69,0.0,-44.420514999999796,-28.537000000002095,0.0
37,26,1,0,44549.883,44761.876,212.0,8.0,28.0,34.3091,108.9407,-36.838,45.0,0.0,-38.26250100000008,36.40053499999942,0.0
38,26,1,1,74410.73,74567.645,156.9,8.0,28.0,34.3091,108.9407,-15.182,45.0,0.0,-14.679670000000085,33.689300000002,0.0
39,27,1,0,50182.437,50347.466,165.0,9.0,29.0,33.0418,80.2724,-16.233,45.0,0.0,-17.555790999999918,33.260433000000944,0.0
40,27,1,1,80195.987,80246.292,50.3,9.0,29.0,33.0418,80.2724,-45.0,-29.496,0.0,-43.715637000000314,-39.34815199999814,0.0
41,28,1,0,68556.71,68728.244,171.5,5.0,15.0,42.1044,123.065,-25.959,45.0,0.0,-26.017710000000008,40.1033999999977,0.0
42,29,1,0,44108.463,44284.652,176.2,6.0,27.0,14.1897,86.9688,29.573,45.0,0.0,29.444369999999967,35.961725999998656,0.0
43,30,1,0,38907.201,39062.754,155.6,8.0,27.0,37.1999,128.6847,7.732,45.0,0.0,7.064773999999976,33.930901999999534,0.0
44,30,1,1,68664.338,68833.658,169.3,8.0,27.0,37.1999,128.6847,-25.353,45.0,0.0,-25.29697199999998,35.285321999998544,0.0
45,31,1,0,50512.032,50529.65,17.6,9.0,15.0,44.6787,79.8996,45.0,-40.701,0.0,44.22827200000004,-44.407295999999825,0.0
46,31,1,1,79903.627,80074.606,171.0,9.0,15.0,44.6787,79.8996,22.108,45.0,0.0,22.77033399999971,39.722724000002664,0.0
47,32,1,0,74999.452,75083.498,84.0,8.0,15.0,6.5631,122.2861,-45.0,-12.414,0.0,-44.50572799999983,-19.889508000002287,0.0
48,33,1,0,39013.206,39224.264,211.1,9.0,18.0,46.1416,131.7692,39.633,45.0,0.0,40.046119999999966,40.360084000000484,0.0
49,33,1,1,68546.009,68569.626,23.6,9.0,18.0,46.1416,131.7692,43.798,45.0,0.0,44.73044100000026,40.51454299999851,0.0
50,34,1,0,80511.721,80695.084,183.4,8.0,21.0,9.5091,98.8032,-34.306,45.0,0.0,-34.376279,38.62425499999827,0.0
51,35,1,0,74227.248,74384.562,157.3,5.0,22.0,43.1714,99.9672,-13.595,45.0,0.0,-13.316279999999898,36.49040799999688,0.0
52,38,1,0,50076.755,50283.382,206.6,7.0,17.0,27.2921,78.7994,-35.399,45.0,0.0,-36.334259999999865,39.92136000000086,0.0
53,39,1,0,44863.796,45024.526,160.7,5.0,21.0,51.0327,120.7943,14.599,45.0,0.0,14.489427999999984,37.137127999999095,0.0
54,39,1,1,68433.168,68619.472,186.3,5.0,21.0,51.0327,120.7943,29.651,45.0,0.0,30.556720000000205,38.01432799999806,0.0
55,40,1,0,1090.959,1245.592,154.6,8.0,27.0,15.2154,73.0005,-15.517,45.0,0.0,-14.806229999999998,34.040048999999975,0.0
56,41,1,0,80459.479,80625.494,166.0,6.0,17.0,15.6972,101.1881,20.002,45.0,0.0,20.963345000000366,38.6148619999972,0.0
57,43,1,0,56234.064,56420.05,186.0,9.0,19.0,49.5986,79.9939,-28.672,45.0,0.0,-29.441431999999942,38.79638400000056,0.0
58,43,1,1,73946.277,73998.997,52.7,9.0,19.0,49.5986,79.9939,-43.58,45.0,0.0,-44.195310000000056,40.49842599999951,0.0
59,44,1,0,74878.966,75044.916,165.9,5.0,16.0,8.6146,124.3042,-25.948,45.0,0.0,-25.785441999999996,39.64164799999987,0.0
60,45,1,0,43981.92,44010.111,28.2,5.0,28.0,4.6763,90.7912,-43.398,45.0,0.0,-44.98983999999991,37.438560000000535,0.0
61,46,1,0,1241.901,1457.582,215.7,5.0,20.0,3.3428,75.4979,-43.283,45.0,0.0,-43.659515,40.099927999999984,0.0
62,47,1,0,44197.18,44356.704,159.5,6.0,15.0,17.8941,90.3854,17.477,45.0,0.0,17.166859999999993,39.684719999999885,0.0
63,49,1,0,79886.806,80051.735,164.9,7.0,27.0,45.3084,78.3614,17.79,45.0,0.0,18.866821999999882,34.272956000001486,0.0
64,50,1,0,74222.251,74388.885,166.6,8.0,23.0,45.2044,102.6646,19.13,45.0,0.0,20.07678900000015,36.21555199999828,0.0
65,52,1,0,50602.103,50787.098,185.0,8.0,15.0,50.8712,106.6833,-28.298,45.0,0.0,-28.893811000000102,40.214743999999016,0.0
66,52,1,1,68317.711,68501.892,184.2,8.0,15.0,50.8712,106.6833,-30.748,45.0,0.0,-31.012375999999932,40.44323700000144,0.0
67,53,1,0,44197.322,44392.664,195.3,9.0,29.0,20.1245,89.0515,36.767,45.0,0.0,37.003966,36.42929999999996,0.0
68,54,1,0,50176.369,50345.234,168.9,6.0,15.0,35.1108,76.8372,23.984,45.0,0.0,23.92278600000001,40.05094600000045,0.0
69,55,1,0,50104.251,50259.714,155.5,8.0,24.0,30.1719,75.0029,9.314,45.0,0.0,8.6647210000001,35.417524000001634,0.0
70,56,1,0,50543.741,50700.225,156.5,7.0,22.0,50.2084,99.0241,-3.323,45.0,0.0,-3.8370430000000413,36.25417599999916,0.0
71,56,1,1,74122.576,74317.375,194.8,7.0,22.0,50.2084,99.0241,32.784,45.0,0.0,33.77719200000004,37.96733599999966,0.0
72,57,1,0,44432.919,44616.181,183.3,5.0,24.0,28.6222,102.2884,-27.234,45.0,0.0,-28.485031000000085,36.53096699999931,0.0
73,59,1,0,44572.249,44728.88,156.6,8.0,15.0,36.3456,105.6815,-5.555,45.0,0.0,-6.115213000000127,39.30917499999854,0.0
74,59,1,1,74351.233,74519.535,168.3,8.0,15.0,36.3456,105.6815,-24.819,45.0,0.0,-24.797068000000028,40.015790000002625,0.0
75,60,1,0,50160.308,50324.927,164.6,7.0,28.0,31.9321,79.3189,-15.91,45.0,0.0,-17.20355199999988,33.71100400000133,0.0
76,61,1,0,74243.775,74405.129,161.4,7.0,17.0,42.0067,100.5958,-18.513,45.0,0.0,-18.39902500000005,38.90167500000234,0.0
77,63,1,0,50105.559,50267.968,162.4,5.0,21.0,29.1844,76.9513,-13.956,45.0,0.0,-14.94715500000005,36.8450089999995,0.0
78,64,1,0,44711.623,44889.612,178.0,5.0,27.0,45.7175,110.2316,28.265,45.0,0.0,28.428245999999998,35.862177000000166,0.0
79,65,1,0,80736.286,80758.76,22.5,9.0,18.0,6.2551,97.918,-45.0,-38.986,0.0,-43.96855400000044,-43.9082139999982,0.0
80,66,1,0,44970.95,45134.678,163.7,7.0,29.0,52.9373,131.6922,-14.892,45.0,0.0,-15.706749999999927,33.38720000000141,0.0
81,66,1,1,62655.694,62812.449,156.8,7.0,29.0,52.9373,131.6922,-9.525,45.0,0.0,-9.300753999999971,32.996529999998415,0.0
82,67,1,0,44653.37,44867.186,213.8,8.0,28.0,44.9427,106.3098,40.349,45.0,0.0,40.95966000000005,37.486189999999176,0.0
83,67,1,1,74237.162,74438.548,201.4,8.0,28.0,44.9427,106.3098,34.898,45.0,0.0,36.24096599999986,35.961602000001285,0.0
84,68,1,0,44000.709,44076.484,75.8,9.0,16.0,5.6257,90.806,-41.342,45.0,0.0,-42.28770400000015,40.72009899999926,0.0
85,69,1,1,80560.081,80745.179,185.1,6.0,24.0,10.2257,105.248,29.835,45.0,0.0,31.2413740000003,36.46346599999769,0.0
86,70,1,0,50175.64,50332.564,156.9,7.0,29.0,33.0529,79.0456,-6.543,45.0,0.0,-7.704599999999977,32.7291200000003,0.0
87,71,1,0,50434.084,50660.942,226.9,5.0,26.0,50.9058,88.7697,42.711,45.0,0.0,43.43193200000006,38.52297599999927,0.0
88,71,1,1,56302.937,56532.886,229.9,5.0,26.0,50.9058,88.7697,-41.277,45.0,0.0,-42.41054299999992,38.05908900000058,0.0
89,71,1,2,74051.916,74207.602,155.7,5.0,26.0,50.9058,88.7697,-7.929,45.0,0.0,-7.621176000000036,34.38999200000125,0.0
90,72,1,0,44196.147,44414.621,218.5,5.0,20.0,21.2418,88.5193,42.523,45.0,0.0,42.91649899999995,40.146163000000755,0.0
91,73,1,0,44256.214,44426.511,170.3,5.0,22.0,21.8827,91.6466,25.96,45.0,0.0,25.789432,37.52147000000002,0.0
92,73,1,1,80282.267,80466.259,184.0,5.0,22.0,21.8827,91.6466,-33.883,45.0,0.0,-33.995267000000005,38.25774899999749,0.0
93,74,1,0,56272.143,56442.659,170.5,5.0,26.0,51.4263,81.6456,-20.453,45.0,0.0,-21.32443299999989,35.23807900000161,0.0
94,74,1,1,73972.106,74154.564,182.5,5.0,26.0,51.4263,81.6456,-29.914,45.0,0.0,-30.313166,36.39455400000009,0.0
95,75,1,0,44480.005,44693.028,213.0,7.0,15.0,30.8792,105.9375,-37.079,45.0,0.0,-37.89325999999986,40.72744500000081,0.0
96,75,1,1,74590.12,74622.688,32.6,7.0,15.0,30.8792,105.9375,-45.0,-35.987,0.0,-44.26688000000024,-40.4994799999987,0.0
97,76,1,0,38710.09,38896.538,186.4,9.0,27.0,29.3818,119.1082,33.264,45.0,0.0,33.41009,36.56070000000129,0.0
