task_id,coord_1,coord_2,task_type,duration,profit
0,47.2001,20.5729,9,18.0,7.0
1,33.6069,-134.6237,4,18.0,9.0
2,-6.6378,85.604,5,25.0,5.0
3,2.9842,77.4266,6,25.0,7.0
4,-4.7964,38.8571,8,28.0,7.0
5,52.851,-90.5573,7,25.0,5.0
6,-10.9713,21.4208,1,17.0,7.0
7,-16.9375,-154.9711,4,28.0,7.0
8,1.3198,-32.2137,2,18.0,9.0
9,-3.4957,114.3224,4,27.0,9.0
10,21.5298,66.0193,6,18.0,7.0
11,-17.2411,68.4341,4,25.0,9.0
12,7.271,-22.7687,4,17.0,9.0
13,40.055,25.4059,1,19.0,9.0
14,-4.3854,123.7165,3,17.0,6.0
15,-48.3112,-39.6358,3,28.0,5.0
16,-33.8106,-22.3269,2,27.0,7.0
17,22.5897,-50.9732,4,25.0,5.0
18,15.9125,-56.2337,1,15.0,5.0
19,-44.9761,-86.0072,7,19.0,9.0
20,42.0237,12.1066,5,29.0,8.0
21,38.1021,0.4082,2,28.0,6.0
22,47.4294,103.661,4,23.0,8.0
23,-39.155,46.6348,2,25.0,7.0
24,2.0637,140.9442,3,18.0,8.0
25,-40.8277,116.243,6,15.0,8.0
26,30.0131,-149.3182,2,29.0,8.0
27,15.6246,-21.5855,3,17.0,6.0
28,-30.5305,-4.5344,6,21.0,8.0
29,38.3901,98.5492,1,20.0,9.0
30,-5.7075,32.354,5,26.0,8.0
31,-52.4765,-78.2115,10,18.0,5.0
32,-49.125,-21.0291,1,17.0,5.0
33,38.3953,123.3724,6,28.0,6.0
34,20.2007,-14.8428,6,19.0,5.0
35,-49.6011,-17.7436,1,23.0,8.0
36,-16.845,-13.9571,8,16.0,6.0
37,-32.5134,-63.4537,8,19.0,8.0
38,-14.3464,-95.8394,3,16.0,6.0
39,28.6614,-62.8548,5,20.0,5.0
40,-50.9362,144.9647,3,29.0,7.0
41,51.6629,-80.4265,8,25.0,7.0
42,5.748,83.8709,10,22.0,6.0
43,7.9846,-63.7294,7,29.0,6.0
44,4.0789,21.4065,4,16.0,5.0
45,-4.5799,-61.589,2,29.0,7.0
46,21.9061,-153.3691,4,20.0,7.0
47,-6.5291,-13.1249,8,25.0,7.0
48,44.1678,34.0978,8,25.0,9.0
49,13.9583,88.4862,8,27.0,8.0
50,-5.5738,-42.5056,9,15.0,8.0
51,-4.2393,105.6089,7,28.0,6.0
52,16.7975,-66.3054,4,17.0,6.0
53,-2.0933,-59.212,2,29.0,7.0
54,-41.1508,39.9355,3,22.0,7.0
55,47.039,127.9131,5,18.0,6.0
56,22.3658,2.3904,6,19.0,8.0
57,-18.5784,-168.0279,9,24.0,9.0
58,15.375,14.2763,3,22.0,5.0
59,10.691,-27.3632,1,21.0,8.0
60,-21.6071,95.3651,3,18.0,7.0
61,35.6674,128.5485,8,21.0,6.0
62,11.0975,14.6211,8,23.0,8.0
63,-36.9064,-164.449,7,22.0,7.0
64,-5.6185,84.5516,9,17.0,6.0
65,7.6456,-131.1299,6,21.0,7.0
66,2.0959,-29.6177,9,23.0,5.0
67,47.2861,-79.9013,3,27.0,9.0
68,-3.4288,31.6435,1,18.0,5.0
69,-41.9301,163.3045,7,26.0,7.0
70,6.1121,148.5814,10,15.0,8.0
71,6.4972,42.6241,9,28.0,9.0
72,21.2778,-33.2116,3,28.0,7.0
73,-33.1818,160.5387,3,22.0,7.0
74,39.6201,-96.1975,7,24.0,6.0
75,38.0643,-2.823,5,15.0,8.0
76,12.5615,-50.6154,5,15.0,7.0
77,11.3469,-42.6256,3,27.0,6.0
78,-18.2643,-39.8585,7,28.0,8.0
79,-46.6498,56.0565,4,25.0,9.0
80,-36.1998,-18.0917,5,19.0,8.0
81,-18.563,-81.4077,1,24.0,6.0
82,-45.6716,27.8449,10,17.0,7.0
83,-16.8187,-35.3456,6,20.0,6.0
84,32.3691,-131.1969,7,18.0,8.0
85,-1.6438,-70.6742,4,29.0,5.0
86,-31.4413,96.9886,4,17.0,6.0
87,-35.1115,-165.5937,4,18.0,7.0
88,-17.683,78.584,10,21.0,6.0
89,26.5369,-111.1858,7,22.0,5.0
90,16.7575,-69.72,10,22.0,6.0
91,-50.5696,-101.0452,7,23.0,6.0
92,-50.7534,-74.7034,6,24.0,5.0
93,-21.2294,-24.2727,8,29.0,5.0
94,-21.0606,-124.8186,5,27.0,6.0
95,-43.7695,73.2105,3,28.0,5.0
96,-21.9057,100.5935,7,28.0,5.0
97,42.0874,-76.9308,7,27.0,7.0
98,47.6407,-1.0714,3,27.0,9.0
99,-48.687,-144.0299,10,21.0,7.0
100,-19.3161,-100.281,4,21.0,8.0
101,0.5097,-6.0582,7,17.0,5.0
102,-19.1261,-67.4141,6,20.0,8.0
103,-27.3726,-46.017,3,23.0,6.0
104,-51.5775,29.5081,9,20.0,8.0
105,32.2549,-70.6259,5,28.0,6.0
106,51.6393,-70.8758,3,19.0,9.0
107,-45.3786,-56.8649,3,19.0,6.0
108,-9.1288,-148.5426,2,27.0,5.0
109,14.4904,-137.1665,10,15.0,8.0
110,17.8624,14.3715,7,15.0,8.0
111,24.9954,116.3913,3,24.0,5.0
112,-31.6949,41.087,9,27.0,8.0
113,-51.2571,174.1619,6,22.0,7.0
114,42.3709,-149.3062,3,17.0,5.0
115,45.16,92.3682,5,20.0,9.0
116,19.6428,-91.637,9,17.0,8.0
117,-5.5923,-91.1803,6,24.0,7.0
118,-26.6494,70.7345,6,16.0,7.0
119,31.7734,-94.1786,10,15.0,7.0
120,16.2094,33.9036,10,23.0,7.0
121,8.8248,-52.8996,8,28.0,6.0
122,50.7981,-26.2848,4,27.0,6.0
123,48.2871,-28.6362,2,17.0,6.0
