node_id,task_id,sat_id,window_id,start,end,duration,profit,task_duration,coord_1,coord_2,roll,pitch,yaw,end_roll,end_pitch,end_yaw
0,1,1,0,24609.916,24806.299,196.4,7.0,28.0,-33.7349,1.2066,-37.543,45.0,0.0,-37.90132800000001,36.73497999999963,0.0
1,4,1,0,24170.967,24360.073,189.1,7.0,16.0,-9.5218,-12.5789,-36.496,45.0,0.0,-36.619835,40.487196999999824,0.0
2,4,1,1,66397.915,66483.587,85.7,7.0,16.0,-9.5218,-12.5789,-41.036,45.0,0.0,-41.98115499999963,40.677820000001866,0.0
3,5,1,0,57845.181,58030.657,185.5,7.0,23.0,9.1103,-165.3714,-35.094,45.0,0.0,-35.193,38.030469000001105,0.0
4,6,1,0,49293.575,49502.11,208.5,8.0,26.0,-10.6397,48.6975,40.539,45.0,0.0,40.897749999999974,38.08705000000089,0.0
5,7,1,0,50283.009,50466.169,183.2,8.0,18.0,41.3885,81.0935,31.059,45.0,0.0,31.217053999999987,39.50890400000062,0.0
6,7,1,1,79960.142,80115.357,155.2,8.0,18.0,41.3885,81.0935,6.663,45.0,0.0,7.299970000000249,37.923957999996794,0.0
7,8,1,0,12255.477,12476.922,221.4,5.0,23.0,25.969,25.696,40.143,45.0,0.0,41.43480400000004,38.327020999999746,0.0
8,8,1,1,61373.292,61528.61,155.3,5.0,23.0,25.969,25.696,-4.015,45.0,0.0,-4.985556000000055,35.61796399999938,0.0
9,10,1,0,66814.103,67006.553,192.5,6.0,27.0,16.9614,-8.2536,36.007,45.0,0.0,36.184103,36.977949999999026,0.0
10,11,1,0,14965.404,15120.941,155.5,9.0,23.0,-31.1645,-176.4261,8.903,45.0,0.0,8.287283999999987,35.85311999999979,0.0
11,12,1,0,20526.543,20715.125,188.6,9.0,21.0,-38.0422,159.2455,-29.616,45.0,0.0,-30.666521000000067,37.96865999999944,0.0
12,12,1,1,75797.31,75981.539,184.2,9.0,21.0,-38.0422,159.2455,28.876,45.0,0.0,29.893259999999895,37.82079000000091,0.0
13,13,1,0,27166.679,27374.51,207.8,9.0,24.0,19.3073,159.7642,40.196,45.0,0.0,40.548469,38.65894199999997,0.0
14,14,1,0,23112.274,23269.313,157.0,5.0,15.0,49.1124,-49.2917,8.738,45.0,0.0,9.195946000000037,39.32382399999947,0.0
15,14,1,1,84499.98,84658.273,158.3,5.0,15.0,49.1124,-49.2917,11.257,45.0,0.0,11.104240000000049,39.52308000000165,0.0
16,16,1,0,71703.948,71894.863,190.9,9.0,16.0,-25.5223,-55.1617,34.956,45.0,0.0,35.10363600000003,40.475119999998775,0.0
17,17,1,0,44673.547,44866.295,192.7,5.0,21.0,44.7905,107.7653,34.449,45.0,0.0,34.759016999999986,38.84684900000045,0.0
18,17,1,1,74241.411,74460.733,219.3,5.0,21.0,44.7905,107.7653,39.472,45.0,0.0,40.53431699999966,39.06712400000228,0.0
19,18,1,0,16324.945,16491.105,166.2,5.0,19.0,40.3361,-129.0262,-16.965,45.0,0.0,-17.763799999999986,37.94415500000012,0.0
20,18,1,1,45990.894,46198.363,207.5,5.0,19.0,40.3361,-129.0262,36.668,45.0,0.0,37.65580600000001,39.330979999999926,0.0
21,19,1,0,16128.685,16286.086,157.4,5.0,26.0,32.08,-140.4148,12.791,45.0,0.0,12.216875000000012,34.682940000000244,0.0
22,21,1,0,30073.302,30246.919,173.6,7.0,26.0,-21.525,-29.1804,-29.764,45.0,0.0,-29.679584000000002,36.16399200000013,0.0
23,21,1,1,66100.749,66302.937,202.2,7.0,26.0,-21.525,-29.1804,38.58,45.0,0.0,38.89999199999997,37.74882200000124,0.0
24,22,1,0,20794.146,20981.28,187.1,9.0,26.0,-20.3828,163.8584,33.824,45.0,0.0,33.929854,36.98300199999977,0.0
