Run,Representative_Index,Task_Count,Profit,Load,Attitude,Quality,Task_Order,Task_ID,Window_Index,Satellite_Index,Actual_Start,Actual_End,Duration_Seconds
1,7,100,695.0,1.0954451150103321,2732.281386199987,,1,95,0,3,2013-04-20T00:02:22.894,2013-04-20T00:02:42.894,20.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,2,94,0,3,2013-04-20T00:06:07.398,2013-04-20T00:06:36.398,29.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,3,44,0,2,2013-04-20T00:06:57.063,2013-04-20T00:07:26.063,29.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,4,54,0,2,2013-04-20T00:11:43.017,2013-04-20T00:12:07.017,24.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,5,35,0,1,2013-04-20T00:17:39.839,2013-04-20T00:17:59.839,20.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,6,17,0,1,2013-04-20T00:20:46.619,2013-04-20T00:21:02.619,16.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,7,40,0,1,2013-04-20T09:04:23.862,2013-04-20T09:04:48.862,25.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,8,29,0,5,2013-04-20T10:02:48.877,2013-04-20T10:03:17.877,29.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,9,42,0,5,2013-04-20T10:05:44.885,2013-04-20T10:06:10.885,26.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,10,60,0,4,2013-04-20T10:16:16.000,2013-04-20T10:16:31.000,15.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,11,3,0,4,2013-04-20T10:17:01.213,2013-04-20T10:17:16.213,15.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,12,13,0,4,2013-04-20T10:17:37.249,2013-04-20T10:18:02.249,25.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,13,11,0,4,2013-04-20T10:22:45.176,2013-04-20T10:23:10.176,25.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,14,6,0,4,2013-04-20T10:24:03.223,2013-04-20T10:24:32.223,29.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,15,2,0,3,2013-04-20T10:25:46.577,2013-04-20T10:26:08.577,22.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,16,28,0,3,2013-04-20T10:28:18.610,2013-04-20T10:28:43.610,25.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,17,45,0,2,2013-04-20T10:31:31.277,2013-04-20T10:31:50.277,19.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,18,48,0,3,2013-04-20T10:32:53.417,2013-04-20T10:33:20.417,27.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,19,24,0,1,2013-04-20T10:38:41.711,2013-04-20T10:39:05.711,24.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,20,71,0,2,2013-04-20T10:41:05.426,2013-04-20T10:41:22.426,17.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,21,23,0,1,2013-04-20T10:42:49.109,2013-04-20T10:43:16.109,27.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,22,50,0,1,2013-04-20T10:44:40.763,2013-04-20T10:45:09.763,29.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,23,16,0,1,2013-04-20T10:47:15.556,2013-04-20T10:47:42.556,27.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,24,82,0,1,2013-04-20T10:49:24.977,2013-04-20T10:49:49.977,25.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,25,12,0,5,2013-04-20T11:40:58.066,2013-04-20T11:41:26.066,28.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,26,89,0,5,2013-04-20T11:43:09.742,2013-04-20T11:43:27.742,18.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,27,43,0,5,2013-04-20T11:44:34.025,2013-04-20T11:45:01.025,27.0
1,7,100,695.0,1.0954451150103321,2732.281386199987,,28,7,0,4,2013-04-20T11:50:56.020,2013-04-20T11:51:14.020,18.0
