Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOACO,moaco,area_s5_t1000,moaco,59,4193.0,0.0,10380.46795259998,,4193.0,2.925747767665559,11033.2110730333,,549,3,59,59,0.551,2949.148268299992,,,,,,,,,6716,106961,{}
2,comparison,MOACO,moaco,area_s5_t1000,moaco,61,4185.0,0.0,10406.254660229264,,4185.0,2.1354156504062622,11628.992510784257,,549,7,61,61,0.551,2877.7487896000093,,,,,,,,,6716,106961,{}
3,comparison,MOACO,moaco,area_s5_t1000,moaco,69,4219.0,0.0,10502.696732984265,,4219.0,1.7888543819998317,11676.501080780228,,555,59,69,69,0.555,2975.4967593000038,,,,,,,,,6716,106961,{}
4,comparison,MOACO,moaco,area_s5_t1000,moaco,55,4231.0,0.0,10538.620222717598,,4231.0,2.5768197453450252,11172.062244350946,,557,12,55,55,0.557,2965.2454978000023,,,,,,,,,6716,106961,{}
5,comparison,MOACO,moaco,area_s5_t1000,moaco,62,4249.0,0.0,10346.762744846941,,4249.0,1.4696938456699067,10969.884174817604,,559,13,62,62,0.559,3126.8152763000107,,,,,,,,,6716,106961,{}
6,comparison,MOACO,moaco,area_s5_t1000,moaco,72,4233.0,0.0,10396.388191566648,,4233.0,2.33238075793812,11160.087801680247,,557,32,72,72,0.557,3114.5386648999993,,,,,,,,,6716,106961,{}
7,comparison,MOACO,moaco,area_s5_t1000,moaco,55,4260.0,0.0,10620.374402403777,,4260.0,1.2649110640673518,11367.754522446903,,560,49,55,55,0.56,3265.7225480999914,,,,,,,,,6716,106961,{}
8,comparison,MOACO,moaco,area_s5_t1000,moaco,60,4250.0,0.0,10397.919635066664,,4250.0,1.9390719429665317,11136.799659917615,,559,28,60,60,0.559,3351.691739300004,,,,,,,,,6716,106961,{}
9,comparison,MOACO,moaco,area_s5_t1000,moaco,55,4235.0,0.0,10389.026949850951,,4235.0,3.8262252939417984,10876.967576884255,,558,33,55,55,0.558,3144.3518575000053,,,,,,,,,6716,106961,{}
10,comparison,MOACO,moaco,area_s5_t1000,moaco,61,4241.0,0.0,10423.008370103775,,4241.0,1.7204650534085253,10732.882633313575,,556,18,61,61,0.559,3023.293809900002,,,,,,,,,6716,106961,{}
Average,comparison,MOACO,moaco,area_s5_t1000,moaco,60.9,4229.6,0.0,10440.151986236986,,4229.6,2.1979585503408914,11175.514327800893,,555.9,,60.9,60.9,0.5566000000000001,3079.405321100002,,,,,,,,,6716.0,106961.0,{}
Std,comparison,MOACO,moaco,area_s5_t1000,moaco,5.4671747731346585,23.08765904114144,0.0,81.31865428563191,,23.08765904114144,0.7217882036881514,290.33121727068766,,3.726929030716845,,5.4671747731346585,5.4671747731346585,0.0031048349392520077,141.8324094004172,,,,,,,,,0.0,0.0,{}
