Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,SPEA2,spea2,area_s5_t1000,spea2,19,3661.0,0.0,11292.950719117604,,3661.0,0.8,11417.182723850934,,518,14,19,19,0.518,1438.3872256000031,,,,,,,,,6716,106961,{}
2,comparison,SPEA2,spea2,area_s5_t1000,spea2,24,3663.0,0.0,10979.60584461763,,3663.0,0.4,11240.987684584301,,516,5,24,24,0.516,1502.7010642999958,,,,,,,,,6716,106961,{}
3,comparison,SPEA2,spea2,area_s5_t1000,spea2,57,3591.0,0.0,11363.489905908638,,3591.0,1.4966629547095764,11624.260403080694,,507,11,57,57,0.507,1741.627862500005,,,,,,,,,6716,106961,{}
4,comparison,SPEA2,spea2,area_s5_t1000,spea2,40,3626.0,0.4,10951.13035653335,,3626.0,1.7204650534085253,12180.01466243336,,511,27,40,40,0.511,1898.446961499998,,,,,,,,,6716,106961,{}
5,comparison,SPEA2,spea2,area_s5_t1000,spea2,67,3603.0,0.0,11372.620620700853,,3603.0,1.9595917942265424,11983.293247718464,,512,41,67,67,0.512,1791.2651536999983,,,,,,,,,6716,106961,{}
6,comparison,SPEA2,spea2,area_s5_t1000,spea2,49,3588.0,0.0,10996.813670433317,,3588.0,1.16619037896906,11458.715347250969,,514,12,49,49,0.514,1684.2940546999962,,,,,,,,,6716,106961,{}
7,comparison,SPEA2,spea2,area_s5_t1000,spea2,36,3625.0,0.0,11224.182063084274,,3625.0,1.9390719429665317,11530.869173017598,,516,30,36,36,0.516,1660.1540408999936,,,,,,,,,6716,106961,{}
8,comparison,SPEA2,spea2,area_s5_t1000,spea2,100,3609.0,0.4,9187.839257066687,,3609.0,1.6733200530681511,11875.037036400032,,510,6,100,100,0.51,2545.7229768000034,,,,,,,,,6716,106961,{}
9,comparison,SPEA2,spea2,area_s5_t1000,spea2,21,3560.0,0.0,9779.172461566675,,3560.0,0.8944271909999159,11418.390472084311,,500,17,21,21,0.5,1247.460863399996,,,,,,,,,6716,106961,{}
10,comparison,SPEA2,spea2,area_s5_t1000,spea2,48,3583.0,0.0,10163.502661484285,,3583.0,0.6324555320336759,12039.27371966745,,510,28,48,48,0.51,1227.990024300001,,,,,,,,,6716,106961,{}
Average,comparison,SPEA2,spea2,area_s5_t1000,spea2,46.1,3610.9,0.08,10731.13075605133,,3610.9,1.2682184900381979,11676.802447008811,,511.4,,46.1,46.1,0.5114,1673.8050227699991,,,,,,,,,6716.0,106961.0,{}
Std,comparison,SPEA2,spea2,area_s5_t1000,spea2,23.3771255718063,31.633684578309875,0.16,718.4031324393012,,31.633684578309875,0.5363038891572887,302.253924227431,,4.963869458396343,,23.3771255718063,23.3771255718063,0.004963869458396347,359.8078052458585,,,,,,,,,0.0,0.0,{}
