Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,57,2630.0,0.0,6777.8061495666425,,2630.0,1.6,7508.868020218149,,371,19,57,57,0.9275,10272.417009199999,,,,,,,,,2737,22192,{}
2,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,77,2645.0,0.4,6754.643154666656,,2645.0,3.9293765408777004,7561.926370066667,,373,59,77,77,0.9325,10306.475308100002,,,,,,,,,2737,22192,{}
3,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,69,2652.0,0.0,6729.30580771816,,2652.0,3.1622776601683795,7648.820578384828,,375,32,69,69,0.9375,11176.451925099995,,,,,,,,,2737,22192,{}
4,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,57,2638.0,0.0,6835.20454111816,,2638.0,2.4979991993593593,7912.40064458483,,373,1,57,57,0.9325,11321.488709700003,,,,,,,,,2737,22192,{}
5,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,83,2652.0,0.0,6802.515774066659,,2652.0,3.867815921162743,7766.250057333332,,374,13,83,83,0.935,8552.557086,,,,,,,,,2737,22192,{}
6,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,44,2639.0,0.0,7026.0217276181575,,2639.0,2.870540018881465,7827.662952851501,,372,12,44,44,0.93,8500.939798200001,,,,,,,,,2737,22192,{}
7,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,80,2640.0,0.0,6934.8549802181615,,2640.0,2.244994432064365,7765.596941351488,,372,14,80,80,0.93,8719.337013700002,,,,,,,,,2737,22192,{}
8,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,70,2643.0,0.0,6941.349381151476,,2643.0,3.6660605559646724,8011.574235366656,,373,23,70,70,0.9325,9110.557797299996,,,,,,,,,2737,22192,{}
9,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,58,2638.0,0.4,6867.643453484821,,2638.0,3.1999999999999997,7823.72405268482,,372,23,58,58,0.93,4748.879770599997,,,,,,,,,2737,22192,{}
10,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,47,2631.0,0.4,6875.020552418181,,2631.0,1.7204650534085253,7505.2991755515095,,371,45,47,47,0.9275,4719.280215100007,,,,,,,,,2737,22192,{}
Average,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,64.2,2640.8,0.12000000000000001,6854.436552202707,,2640.8,2.8759529381887208,7733.212302839378,,372.6,,64.2,64.2,0.9315,8742.8384633,,,,,,,,,2737.0,22192.0,{}
Std,comparison,CG-MOACO,cg_moaco,area_s5_t400,cg_moaco,12.921300244170476,7.110555533852471,0.1833030277982336,88.66501034617391,,7.110555533852471,0.8005589905332795,163.5796356935561,,1.2,,12.921300244170476,12.921300244170476,0.003000000000000001,2229.970876363944,,,,,,,,,0.0,0.0,{}
