Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2484.0,0.0,6902.159135533312,,2484.0,0.4898979485566356,7682.976345733315,,352,87,100,100,0.88,614.2951336999995,,,,,,,,,2737,22192,{}
2,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2539.0,0.0,7107.7499766515075,,2539.0,4.604345773288535,7731.118252718184,,360,60,100,100,0.9,797.9650186999988,,,,,,,,,2737,22192,{}
3,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2505.0,0.0,6649.998761300008,,2505.0,3.97994974842648,7913.3049951333405,,358,61,100,100,0.895,767.2942365999988,,,,,,,,,2737,22192,{}
4,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2527.0,0.0,6419.737705533354,,2527.0,0.7483314773547882,7941.382663518169,,359,13,100,100,0.8975,644.4902476999996,,,,,,,,,2737,22192,{}
5,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2536.0,0.0,6894.599302900029,,2536.0,1.4696938456699067,8289.247437133345,,359,85,100,100,0.8975,578.4690965000009,,,,,,,,,2737,22192,{}
6,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,94,2512.0,0.0,6604.578016433351,,2512.0,0.4898979485566356,8105.337282899994,,357,28,94,94,0.8925,604.8389556000002,,,,,,,,,2737,22192,{}
7,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2497.0,0.0,6703.149414933342,,2497.0,1.16619037896906,8815.402018433342,,354,37,100,100,0.885,1160.5259105999994,,,,,,,,,2737,22192,{}
8,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2513.0,0.0,6961.184583066649,,2513.0,1.3564659966250536,7718.438409833321,,357,29,100,100,0.8925,1132.7491430999999,,,,,,,,,2737,22192,{}
9,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,100,2523.0,0.0,6817.1726841333275,,2523.0,0.9797958971132712,8086.388719366668,,356,18,100,100,0.89,630.6636672999994,,,,,,,,,2737,22192,{}
10,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,92,2488.0,0.0,7009.12550573333,,2488.0,2.576819745345025,8939.56514482858,,352,55,92,92,0.88,597.0807658999984,,,,,,,,,2737,22192,{}
Average,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,98.6,2512.4,0.0,6806.945508621821,,2512.4,1.786138875990539,8122.316126959826,,356.4,,98.6,98.6,0.891,752.8372175699994,,,,,,,,,2737.0,22192.0,{}
Std,comparison,NSGA-II,nsga2,area_s5_t400,nsga2,2.835489375751565,18.122913673027305,0.0,199.57243899178874,,18.122913673027305,1.3833683224923337,419.9171506662167,,2.727636339397171,,2.835489375751565,2.835489375751565,0.006819090848492921,208.6182676842,,,,,,,,,0.0,0.0,{}
