Run,Representative_Index,Task_Count,Profit,Load,Attitude,Quality,Task_Order,Task_ID,Window_Index,Satellite_Index,Actual_Start,Actual_End,Duration_Seconds
1,43,424,2969.0,3.249615361854384,9804.453955333336,,1,402,0,4,2013-04-20T00:00:00.000,2013-04-20T00:00:19.000,19.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,2,183,0,3,2013-04-20T00:00:00.179,2013-04-20T00:00:16.179,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,3,427,0,3,2013-04-20T00:00:41.045,2013-04-20T00:01:04.045,23.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,4,182,0,3,2013-04-20T00:02:45.681,2013-04-20T00:03:08.681,23.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,5,384,0,3,2013-04-20T00:03:49.637,2013-04-20T00:04:15.637,26.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,6,549,0,3,2013-04-20T00:05:24.816,2013-04-20T00:05:44.816,20.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,7,527,0,3,2013-04-20T00:06:31.598,2013-04-20T00:07:00.598,29.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,8,468,0,2,2013-04-20T00:10:26.494,2013-04-20T00:10:51.494,25.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,9,138,0,2,2013-04-20T00:11:14.981,2013-04-20T00:11:36.981,22.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,10,80,0,2,2013-04-20T00:12:25.654,2013-04-20T00:12:43.654,18.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,11,568,0,2,2013-04-20T00:13:18.005,2013-04-20T00:13:43.005,25.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,12,420,0,2,2013-04-20T00:14:00.427,2013-04-20T00:14:19.427,19.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,13,129,0,1,2013-04-20T00:18:15.630,2013-04-20T00:18:33.630,18.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,14,18,0,1,2013-04-20T00:18:48.747,2013-04-20T00:19:15.747,27.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,15,296,0,1,2013-04-20T00:20:04.757,2013-04-20T00:20:21.757,17.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,16,393,0,1,2013-04-20T00:20:59.191,2013-04-20T00:21:25.191,26.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,17,90,0,2,2013-04-20T08:56:08.733,2013-04-20T08:56:33.733,25.0
