Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MODBO,modbo,area_s5_t900,modbo,28,3552.0,0.4898979485566356,10402.915569232186,,3552.0,2.3151673805580453,11021.998685600489,,506,7,28,28,0.5644444444444444,1718.0921020000023,,,,,,,,,6176,90866,{}
2,comparison,MODBO,modbo,area_s5_t900,modbo,34,3562.0,0.4,9941.83161120002,,3562.0,1.9390719429665317,11066.451884836082,,514,7,34,34,0.5711111111111111,1826.5525743000035,,,,,,,,,6176,90866,{}
3,comparison,MODBO,modbo,area_s5_t900,modbo,39,3499.0,0.4,9772.464585213796,,3499.0,6.280127387243033,12050.38394350395,,507,1,39,39,0.5633333333333334,1782.6034561999986,,,,,,,,,6176,90866,{}
4,comparison,MODBO,modbo,area_s5_t900,modbo,93,3520.0,0.4,8974.865792627072,,3520.0,2.6076809620810595,12091.306677569446,,505,57,93,93,0.5611111111111111,1662.8075892999987,,,,,,,,,6176,90866,{}
5,comparison,MODBO,modbo,area_s5_t900,modbo,100,3519.0,0.4,8901.048981600028,,3519.0,5.607138307550475,11250.864534999999,,507,2,100,100,0.5644444444444444,1803.721512499993,,,,,,,,,6176,90866,{}
6,comparison,MODBO,modbo,area_s5_t900,modbo,41,3553.0,0.0,9748.519677466695,,3553.0,2.638181191654584,11182.93718366663,,509,28,41,41,0.5655555555555556,1795.1942313000036,,,,,,,,,6176,90866,{}
7,comparison,MODBO,modbo,area_s5_t900,modbo,61,3601.0,0.4,9341.371831300006,,3601.0,4.079215610874228,12268.322363100002,,518,20,61,61,0.5755555555555556,1769.0300263000026,,,,,,,,,6176,90866,{}
8,comparison,MODBO,modbo,area_s5_t900,modbo,100,3491.0,0.4,9198.64398543385,,3491.0,4.857983120596447,11921.30655077237,,500,12,100,100,0.5555555555555556,1764.234443100002,,,,,,,,,6176,90866,{}
9,comparison,MODBO,modbo,area_s5_t900,modbo,40,3511.0,0.4,9485.257312499996,,3511.0,2.3151673805580453,11044.451477967197,,501,1,40,40,0.5566666666666666,933.6411707000007,,,,,,,,,6176,90866,{}
10,comparison,MODBO,modbo,area_s5_t900,modbo,98,3502.0,0.4,9111.982522566675,,3502.0,3.1999999999999997,11668.47631946668,,498,68,98,98,0.5566666666666666,893.3570450999978,,,,,,,,,6176,90866,{}
Average,comparison,MODBO,modbo,area_s5_t900,modbo,63.4,3531.0,0.3689897948556636,9487.890186914032,,3531.0,3.583973328408245,11556.649962148284,,506.5,,63.4,63.4,0.5634444444444444,1594.9234150800003,,,,,,,,,6176.0,90866.0,{}
Std,comparison,MODBO,modbo,area_s5_t900,modbo,29.189724219320745,33.039370454050726,0.12588300636851393,452.35668599191723,,33.039370454050726,1.4543504327562624,469.3876451030223,,5.852349955359813,,29.189724219320745,29.189724219320745,0.0060949280675122244,343.6318686614214,,,,,,,,,0.0,0.0,{}
