Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOPSO,mopso,area_s5_t900,mopso,39,3562.0,0.0,9628.482180866662,,3562.0,1.7204650534085253,11029.986776899967,,509,12,39,39,0.5655555555555556,1888.9395856000046,,,,,,,,,6176,90866,{}
2,comparison,MOPSO,mopso,area_s5_t900,mopso,41,3575.0,0.4,10850.358843333339,,3575.0,3.847076812334269,11902.786007033317,,515,6,41,41,0.5722222222222222,1851.2146572000056,,,,,,,,,6176,90866,{}
3,comparison,MOPSO,mopso,area_s5_t900,mopso,100,3553.0,0.0,9208.408251033836,,3553.0,3.370459909270543,12281.591319933319,,506,5,100,100,0.5644444444444444,1810.040953900003,,,,,,,,,6176,90866,{}
4,comparison,MOPSO,mopso,area_s5_t900,mopso,36,3600.0,0.0,10553.354105699987,,3600.0,1.624807680927192,11292.250358233336,,512,22,36,36,0.5688888888888889,1780.2112594999999,,,,,,,,,6176,90866,{}
5,comparison,MOPSO,mopso,area_s5_t900,mopso,98,3601.0,0.0,9002.049863309592,,3601.0,2.8284271247461903,11750.650820766681,,515,60,98,98,0.5722222222222222,1765.6650399999999,,,,,,,,,6176,90866,{}
6,comparison,MOPSO,mopso,area_s5_t900,mopso,52,3581.0,0.4,10525.937361566657,,3581.0,4.354308211415448,11731.172448233325,,514,48,52,52,0.5711111111111111,1754.2837117000017,,,,,,,,,6176,90866,{}
7,comparison,MOPSO,mopso,area_s5_t900,mopso,100,3556.0,0.4,8760.529334500014,,3556.0,4.8166378315169185,12193.968295541388,,510,28,100,100,0.5666666666666667,1861.1120089000033,,,,,,,,,6176,90866,{}
8,comparison,MOPSO,mopso,area_s5_t900,mopso,35,3580.0,0.0,10598.447533033332,,3580.0,1.624807680927192,11508.30782623333,,512,25,35,35,0.5688888888888889,1870.5849032999977,,,,,,,,,6176,90866,{}
9,comparison,MOPSO,mopso,area_s5_t900,mopso,33,3580.0,0.0,9254.046466799991,,3580.0,1.4966629547095764,11025.713132721166,,507,12,33,33,0.5633333333333334,964.9983812999999,,,,,,,,,6176,90866,{}
10,comparison,MOPSO,mopso,area_s5_t900,mopso,40,3554.0,0.4,10532.812849366652,,3554.0,4.66476151587624,11210.027809767145,,506,38,40,40,0.5677777777777778,953.3323605999976,,,,,,,,,6176,90866,{}
Average,comparison,MOPSO,mopso,area_s5_t900,mopso,57.4,3574.2,0.16,9891.442678951007,,3574.2,3.0348414775132095,11592.645479536297,,510.6,,57.4,57.4,0.5681111111111111,1650.0382862000013,,,,,,,,,6176.0,90866.0,{}
Std,comparison,MOPSO,mopso,area_s5_t900,mopso,27.87902437317346,16.83923988783342,0.19595917942265426,753.8822697441792,,16.83923988783342,1.2828628946093341,431.0825335319279,,3.352610922848042,,27.87902437317346,27.87902437317346,0.002983493684910557,348.16662957338013,,,,,,,,,0.0,0.0,{}
