Case,Algorithm,Tag,Runs,HV_mean,HV_std,IGD_mean,IGD_std,Archive_size_mean,Best_f1_mean,Best_f2_mean,Best_f3_mean,Completion_mean
area_s5_t100,CG-MOACO,cg_moaco,10,1.2719002722447283,0.03208688374536016,0.0754527151997877,0.0352307226136335,8.8,695.0,1666.0741331413053,0.0,1.0
area_s5_t100,MODBO,modbo,10,0.9445972442884834,0.11335104044461919,0.2854313864468747,0.06143120057401291,11.3,695.0,1884.3735525759416,0.12000000000000001,1.0
area_s5_t100,MOPSO,mopso,10,1.1233691988904657,0.1088387105183195,0.17297044589546806,0.06544202963332837,13.8,695.0,1752.0953436672444,0.04,1.0
area_s5_t100,NSGA-II,nsga2,10,1.0953808441284985,0.05821067745182267,0.22526807700784093,0.02768165131036108,17.0,695.0,1824.6235477059367,0.0,1.0
area_s5_t100,SPEA2,spea2,10,0.6576595580286477,0.12145958807919274,0.5153591582253731,0.09032138891018812,13.0,694.0,2175.1036476647823,0.24898979485566358,0.998
area_s5_t1000,CG-MOACO,cg_moaco,10,0.5880556689260055,0.022270503379908387,0.6323172550938726,0.010345114662621774,64.9,4222.3,10358.235079801743,0.0,0.5523
area_s5_t1000,MODBO,modbo,10,0.39501455065109464,0.03014795540816968,0.24209312338535377,0.12112889970563381,54.2,3611.8,9633.050506957043,0.28,0.5135000000000001
area_s5_t1000,MOPSO,mopso,10,0.3975433868948854,0.02590454344633756,0.34179578350211737,0.20866739581389152,71.1,3622.8,9640.39436532673,0.2,0.5143
area_s5_t1000,NSGA-II,nsga2,10,0.4965814656969609,0.04051407873487371,0.3504392641342997,0.20956985555567034,100.0,3752.0,9054.866857288469,0.08,0.5301
area_s5_t1000,SPEA2,spea2,10,0.3366206072337903,0.030250295204799965,0.5181504992419531,0.19470060778497833,46.1,3610.9,10731.13075605133,0.08,0.5114
area_s5_t200,CG-MOACO,cg_moaco,10,1.2709976120935071,0.031218633501398523,0.05979214051176355,0.025000650670258383,12.6,1412.0,3520.071670010522,0.0,1.0
area_s5_t200,MODBO,modbo,10,0.7740704505978572,0.09058809684353317,0.4381584918264739,0.06343255213456556,27.3,1402.9,4227.494835410098,0.04,0.992
area_s5_t200,MOPSO,mopso,10,0.7913390526857023,0.06137480082078706,0.4596387739075569,0.054267221153166276,43.3,1409.3,4186.928643315076,0.04,0.9975
area_s5_t200,NSGA-II,nsga2,10,1.0419378758207314,0.05603040448746391,0.2688847210777811,0.03752257387153711,60.9,1409.5,3839.123205433848,0.0,0.9975
area_s5_t200,SPEA2,spea2,10,0.5684956433503972,0.10377376061139493,0.5918469710315324,0.09961638770753277,23.0,1395.1,4577.936158109991,0.0,0.9864999999999999
area_s5_t300,CG-MOACO,cg_moaco,10,1.0824351682042619,0.03505048028688071,0.45159211143367795,0.011411269594958143,56.6,2072.0,5495.705251053335,0.12000000000000001,0.974
area_s5_t300,MODBO,modbo,10,0.7031759087419089,0.0715343489337316,0.44646100585021664,0.13091607899701102,62.5,1991.3,5867.065113446679,0.36000000000000004,0.9356666666666666
area_s5_t300,MOPSO,mopso,10,0.7491928157096651,0.03290223535212252,0.4503344342166298,0.1433895631332257,71.7,2003.6,5839.991487063864,0.12000000000000001,0.9423333333333334
area_s5_t300,NSGA-II,nsga2,10,0.8895863787904584,0.07091541727708757,0.37327687488842404,0.1482691232808521,93.7,2033.0,5483.665775565096,0.04,0.9553333333333334
area_s5_t300,SPEA2,spea2,10,0.6231269619116193,0.057252910222875264,0.5527476824267512,0.12286260896787499,53.7,1975.8,6163.428378191281,0.2,0.9293333333333333
area_s5_t400,CG-MOACO,cg_moaco,10,1.0526930758745043,0.04802581129385166,0.15595630492984364,0.013067795314350143,64.2,2640.8,6854.436552202707,0.12000000000000001,0.9315
area_s5_t400,MODBO,modbo,10,0.49755728566500684,0.062436744944015556,0.41303808010750753,0.046742603428875436,37.8,2438.0,7369.211626826972,0.16,0.865
area_s5_t400,MOPSO,mopso,10,0.5549177221040967,0.045441786891164015,0.37612997709010265,0.03650554178729119,51.4,2469.3,7229.193677598496,0.16,0.876
area_s5_t400,NSGA-II,nsga2,10,0.7343318698713799,0.07611056543273506,0.2888434076413521,0.04952139850971153,98.6,2512.4,6806.945508621821,0.0,0.891
area_s5_t400,SPEA2,spea2,10,0.37789413756922535,0.06372965192268287,0.5327554374585404,0.07095562043516297,39.8,2404.8,7660.361673323335,0.0,0.85275
area_s5_t500,CG-MOACO,cg_moaco,10,0.8841729390277298,0.04834881447724477,0.22970483518132442,0.0209714121349423,58.6,3021.6,8037.558927339987,0.16,0.8361999999999999
area_s5_t500,MODBO,modbo,10,0.3972663001848167,0.049740447275300366,0.42355463576748253,0.03766907863482685,37.4,2688.6,8064.1299625389465,0.2,0.7658
area_s5_t500,MOPSO,mopso,10,0.40403314977593363,0.03739603937333438,0.42460809600769783,0.030075126838964815,53.2,2702.2,8022.186885175837,0.08,0.77
area_s5_t500,NSGA-II,nsga2,10,0.6049161163542427,0.07672752058441878,0.3125154586544879,0.054431625874724984,99.6,2802.5,7630.966595089207,0.08,0.796
area_s5_t500,SPEA2,spea2,10,0.3141888696590187,0.04733984017574956,0.5050073746740088,0.04436611335622018,43.9,2656.4,8363.484595493874,0.04,0.757
area_s5_t600,CG-MOACO,cg_moaco,10,0.8501552890494987,0.02533991039395034,0.554945986981036,0.006423971588924501,66.1,3286.7,8520.134725216656,0.0,0.749
area_s5_t600,MODBO,modbo,10,0.52103177701887,0.025946124378594154,0.3557107598488944,0.17425945076000976,61.9,2929.4,8316.447897905246,0.32,0.6951666666666667
area_s5_t600,MOPSO,mopso,10,0.5165852432678482,0.02162765734575329,0.39036403800312847,0.1839907002969269,72.3,2952.3,8350.730907136765,0.28,0.7003333333333334
area_s5_t600,NSGA-II,nsga2,10,0.7002756356091224,0.06044142829967231,0.35490519538504944,0.18620896458258893,99.7,3061.8,7907.930412324839,0.12000000000000001,0.7228333333333333
area_s5_t600,SPEA2,spea2,10,0.42531745091733614,0.036198266030001494,0.5922114357290887,0.12216622431916772,61.1,2908.9,9124.21220039299,0.2094427190999916,0.6903333333333334
area_s5_t700,CG-MOACO,cg_moaco,10,0.9575728512421984,0.027084922769836768,0.2952611969272605,0.014430210637634909,57.5,3652.8,9455.851808423355,0.04,0.7055714285714285
