Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,SPEA2,spea2,area_s5_t200,spea2,9,1391.0,0.0,4307.463359866637,,1391.0,3.0724582991474434,5682.632090517514,,197,8,9,9,0.985,457.4752381999999,,,,,,,,,1355,7914,{}
2,comparison,SPEA2,spea2,area_s5_t200,spea2,14,1400.0,0.0,4487.268395699996,,1400.0,1.3564659966250538,4632.104398566664,,198,5,14,14,0.99,401.58032090000006,,,,,,,,,1355,7914,{}
3,comparison,SPEA2,spea2,area_s5_t200,spea2,10,1402.0,0.0,4651.096458333328,,1402.0,0.4898979485566356,4837.206548599991,,198,5,10,10,0.99,366.65776589999996,,,,,,,,,1355,7914,{}
4,comparison,SPEA2,spea2,area_s5_t200,spea2,13,1394.0,0.0,4559.843355766677,,1394.0,3.3823069050575527,5077.708624566667,,197,10,13,13,0.985,428.84958559999995,,,,,,,,,1355,7914,{}
5,comparison,SPEA2,spea2,area_s5_t200,spea2,32,1386.0,0.0,4592.81256006666,,1386.0,1.4696938456699067,5441.652217733321,,196,14,32,32,0.98,649.4360345,,,,,,,,,1355,7914,{}
6,comparison,SPEA2,spea2,area_s5_t200,spea2,34,1384.0,0.0,4779.583376333322,,1384.0,4.166533331199932,5473.575139566665,,196,16,34,34,0.98,801.4280608000001,,,,,,,,,1355,7914,{}
7,comparison,SPEA2,spea2,area_s5_t200,spea2,23,1388.0,0.0,4686.2922855666475,,1388.0,0.9797958971132712,5656.849757899997,,196,17,23,23,0.98,506.79591719999985,,,,,,,,,1355,7914,{}
8,comparison,SPEA2,spea2,area_s5_t200,spea2,53,1405.0,0.0,4686.72756289999,,1405.0,2.227105745132009,5499.151461366649,,199,21,53,53,0.995,602.9465248000001,,,,,,,,,1355,7914,{}
9,comparison,SPEA2,spea2,area_s5_t200,spea2,29,1402.0,0.0,4581.005736066662,,1402.0,1.4966629547095767,5203.763997950848,,198,23,29,29,0.99,347.7932103000003,,,,,,,,,1355,7914,{}
10,comparison,SPEA2,spea2,area_s5_t200,spea2,13,1399.0,0.0,4447.268490499988,,1399.0,0.4898979485566356,4792.950080399985,,198,3,13,13,0.99,272.4929734000002,,,,,,,,,1355,7914,{}
Average,comparison,SPEA2,spea2,area_s5_t200,spea2,23.0,1395.1,0.0,4577.936158109991,,1395.1,1.9130818871768016,5229.75943171683,,197.3,,23.0,23.0,0.9864999999999999,483.54556316000003,,,,,,,,,1355.0,7914.0,{}
Std,comparison,SPEA2,spea2,area_s5_t200,spea2,13.3566462856512,7.119691004531025,0.0,129.84565702743677,,7.119691004531025,1.1950387830342777,359.2079389754699,,1.004987562112089,,13.3566462856512,13.3566462856512,0.00502493781056045,151.78615425460328,,,,,,,,,0.0,0.0,{}
