Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOPSO,mopso,area_s5_t300,mopso,55,2011.0,0.0,6058.194699766666,,2011.0,2.925747767665559,7001.804633116962,,284,14,55,55,0.9466666666666667,537.3206429000002,,,,,,,,,2027,14744,{}
2,comparison,MOPSO,mopso,area_s5_t300,mopso,66,2024.0,0.0,6086.4131833000065,,2024.0,3.03315017762062,7208.276685733343,,285,8,66,66,0.9533333333333334,532.0927069999998,,,,,,,,,2027,14744,{}
3,comparison,MOPSO,mopso,area_s5_t300,mopso,65,1991.0,0.0,5796.357496899997,,1991.0,1.5999999999999999,7226.5923562666785,,279,16,65,65,0.9366666666666666,527.776108,,,,,,,,,2027,14744,{}
4,comparison,MOPSO,mopso,area_s5_t300,mopso,52,2013.0,0.0,5954.392243283634,,2013.0,1.4966629547095767,6939.720517233335,,283,10,52,52,0.9433333333333334,643.0110179999992,,,,,,,,,2027,14744,{}
5,comparison,MOPSO,mopso,area_s5_t300,mopso,100,1988.0,0.0,5409.020005199995,,1988.0,1.16619037896906,7261.6988795000025,,279,12,100,100,0.9333333333333333,588.3170914000002,,,,,,,,,2027,14744,{}
6,comparison,MOPSO,mopso,area_s5_t300,mopso,48,2014.0,0.0,6101.040336054382,,2014.0,2.898275349237888,7151.658481016963,,285,40,48,48,0.95,570.1487717,,,,,,,,,2027,14744,{}
7,comparison,MOPSO,mopso,area_s5_t300,mopso,80,2009.0,0.4,6116.3665544502965,,2009.0,4.17612260356422,6768.685580000006,,283,57,80,80,0.9433333333333334,568.5669318999999,,,,,,,,,2027,14744,{}
8,comparison,MOPSO,mopso,area_s5_t300,mopso,52,2024.0,0.0,5961.218633099995,,2024.0,2.7856776554368237,7301.083836000006,,284,14,52,52,0.95,584.4380803000004,,,,,,,,,2027,14744,{}
9,comparison,MOPSO,mopso,area_s5_t300,mopso,99,1973.0,0.4,5398.557537566678,,1973.0,1.8547236990991407,7324.009654299992,,278,4,99,99,0.93,331.6580570999995,,,,,,,,,2027,14744,{}
10,comparison,MOPSO,mopso,area_s5_t300,mopso,100,1989.0,0.4,5518.354181016989,,1989.0,3.54400902933387,7147.43015188884,,281,1,100,100,0.9366666666666666,330.35339380000005,,,,,,,,,2027,14744,{}
Average,comparison,MOPSO,mopso,area_s5_t300,mopso,71.7,2003.6,0.12000000000000001,5839.991487063864,,2003.6,2.548055961563676,7133.096077505613,,282.1,,71.7,71.7,0.9423333333333334,521.36828021,,,,,,,,,2027.0,14744.0,{}
Std,comparison,MOPSO,mopso,area_s5_t300,mopso,20.27338156302495,16.322989922192562,0.1833030277982336,276.87621051453806,,16.322989922192562,0.9270441287985225,168.39739587355916,,2.5079872407968904,,20.27338156302495,20.27338156302495,0.007461009761866453,100.37497435943799,,,,,,,,,0.0,0.0,{}
