Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,63,3657.0,0.0,9528.708318333363,,3657.0,2.244994432064365,10184.370631266704,,493,53,63,63,0.7042857142857143,10901.215326999998,,,,,,,,,4724,57168,{}
2,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,60,3642.0,0.0,9444.578251266696,,3642.0,3.6660605559646724,10041.161235200017,,492,4,60,60,0.7028571428571428,11075.493801600009,,,,,,,,,4724,57168,{}
3,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,53,3646.0,0.4,9360.141296333366,,3646.0,1.9595917942265424,9776.490337733389,,492,25,53,53,0.7028571428571428,13635.06697130001,,,,,,,,,4724,57168,{}
4,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,67,3668.0,0.0,9576.495687800038,,3668.0,4.166533331199932,10457.483965200026,,496,5,67,67,0.7085714285714285,16333.651957499984,,,,,,,,,4724,57168,{}
5,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,46,3651.0,0.0,9332.607763266671,,3651.0,0.7483314773547882,10224.25100379998,,494,4,46,46,0.7057142857142857,11275.129770300002,,,,,,,,,4724,57168,{}
6,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,64,3645.0,0.0,9431.715984833354,,3645.0,1.7435595774162693,10390.969781500015,,493,8,64,64,0.7042857142857143,11448.461619599984,,,,,,,,,4724,57168,{}
7,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,66,3633.0,0.0,9512.086855166679,,3633.0,2.785677655436824,10169.555632500025,,491,40,66,66,0.7028571428571428,13202.769231600018,,,,,,,,,4724,57168,{}
8,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,43,3657.0,0.0,9529.195976800005,,3657.0,3.3105890714493698,10174.303043700033,,494,17,43,43,0.7085714285714285,13900.455025600008,,,,,,,,,4724,57168,{}
9,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,59,3671.0,0.0,9436.653007733355,,3671.0,2.6532998322843198,10255.455031633357,,497,7,59,59,0.71,9096.952527299989,,,,,,,,,4724,57168,{}
10,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,54,3658.0,0.0,9406.334942700021,,3658.0,2.5768197453450252,10065.7406977,,493,18,54,54,0.7057142857142857,8873.361945699988,,,,,,,,,4724,57168,{}
Average,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,57.5,3652.8,0.04,9455.851808423355,,3652.8,2.5855457472742107,10173.978136023354,,493.5,,57.5,57.5,0.7055714285714285,11974.25581775,,,,,,,,,4724.0,57168.0,{}
Std,comparison,CG-MOACO,cg_moaco,area_s5_t700,cg_moaco,7.864477096412704,11.15168148756052,0.12000000000000001,75.02300046375693,,11.15168148756052,0.9396558884784596,180.0296267798354,,1.746424919657298,,7.864477096412704,7.864477096412704,0.0025111994044638335,2181.764420000488,,,,,,,,,0.0,0.0,{}
