Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MODBO,modbo,area_s5_t700,modbo,25,3158.0,0.0,9547.055929466682,,3158.0,0.8,10000.775021305895,,447,18,25,25,0.64,1156.2885745999993,,,,,,,,,4724,57168,{}
2,comparison,MODBO,modbo,area_s5_t700,modbo,29,3144.0,0.4,9343.740339833319,,3144.0,2.0591260281974,9910.11121936665,,442,24,29,29,0.6342857142857142,1175.7364629999975,,,,,,,,,4724,57168,{}
3,comparison,MODBO,modbo,area_s5_t700,modbo,38,3159.0,0.4,9491.716726674576,,3159.0,2.0591260281974,10131.137503000004,,448,31,38,38,0.64,1593.025473400001,,,,,,,,,4724,57168,{}
4,comparison,MODBO,modbo,area_s5_t700,modbo,35,3152.0,0.0,9599.413096133341,,3152.0,6.280127387243033,10281.737736699997,,447,6,35,35,0.6385714285714286,1589.834517899999,,,,,,,,,4724,57168,{}
5,comparison,MODBO,modbo,area_s5_t700,modbo,42,3139.0,0.4,9542.128541200027,,3139.0,2.8705400188814645,10077.409897566688,,448,16,42,42,0.64,1171.9313446999986,,,,,,,,,4724,57168,{}
6,comparison,MODBO,modbo,area_s5_t700,modbo,20,3138.0,0.0,9290.98320623337,,3138.0,2.33238075793812,9882.603973533343,,447,16,20,20,0.6385714285714286,1173.947014199999,,,,,,,,,4724,57168,{}
7,comparison,MODBO,modbo,area_s5_t700,modbo,26,3165.0,0.0,9552.651754500008,,3165.0,1.624807680927192,10247.782040064469,,452,12,26,26,0.6457142857142857,1554.7756601,,,,,,,,,4724,57168,{}
8,comparison,MODBO,modbo,area_s5_t700,modbo,36,3158.0,0.0,9250.089763699998,,3158.0,2.5768197453450252,9885.378194866684,,453,2,36,36,0.6471428571428571,1563.0498297999984,,,,,,,,,4724,57168,{}
9,comparison,MODBO,modbo,area_s5_t700,modbo,22,3173.0,0.0,9357.143996533356,,3173.0,2.1354156504062622,9830.228534966673,,451,0,22,22,0.6457142857142857,1056.4625347,,,,,,,,,4724,57168,{}
10,comparison,MODBO,modbo,area_s5_t700,modbo,25,3185.0,0.4,9483.715910933342,,3185.0,2.8705400188814645,10358.79693749999,,453,0,25,25,0.6471428571428571,1043.3059160000012,,,,,,,,,4724,57168,{}
Average,comparison,MODBO,modbo,area_s5_t700,modbo,29.8,3157.1,0.16,9445.863926520802,,3157.1,2.560888331601736,10060.59610588704,,448.8,,29.8,29.8,0.6417142857142857,1307.8357328399993,,,,,,,,,4724.0,57168.0,{}
Std,comparison,MODBO,modbo,area_s5_t700,modbo,7.068238818828917,14.102836594104039,0.19595917942265426,117.7450425616715,,14.102836594104039,1.368886756845166,178.82972895742594,,3.280243893371345,,7.068238818828917,7.068238818828917,0.004179639668093656,222.92319855871074,,,,,,,,,0.0,0.0,{}
