Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3296.0,0.0,8808.961382707903,,3296.0,0.4898979485566356,10290.286435222582,,467,71,100,100,0.6671428571428571,1669.7905382999998,,,,,,,,,4724,57168,{}
2,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3269.0,0.0,8906.149587700007,,3269.0,3.49857113690718,10003.018145854425,,462,65,100,100,0.66,1720.1651095000016,,,,,,,,,4724,57168,{}
3,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3360.0,0.0,8848.347331933348,,3360.0,1.4966629547095764,10543.261984955563,,473,83,100,100,0.6771428571428572,1003.647974800002,,,,,,,,,4724,57168,{}
4,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3230.0,0.0,8907.678923533327,,3230.0,1.4966629547095764,10899.582493733338,,457,59,100,100,0.6528571428571428,994.8002586999974,,,,,,,,,4724,57168,{}
5,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3281.0,0.0,9132.98086486668,,3281.0,1.3564659966250536,10269.794981933353,,462,74,100,100,0.66,925.7428837000007,,,,,,,,,4724,57168,{}
6,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3260.0,0.0,8912.217742089259,,3260.0,1.7204650534085253,9582.784083678138,,459,25,100,100,0.6557142857142857,922.3504116000004,,,,,,,,,4724,57168,{}
7,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3304.0,0.0,8739.321003566662,,3304.0,3.03315017762062,10040.071184699986,,470,38,100,100,0.6714285714285714,1454.4568236000014,,,,,,,,,4724,57168,{}
8,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3272.0,0.0,8913.298120066667,,3272.0,0.7483314773547882,10703.03078070787,,464,79,100,100,0.6628571428571428,1415.465913,,,,,,,,,4724,57168,{}
9,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,100,3330.0,0.0,8863.826659033346,,3330.0,2.33238075793812,10265.307941200026,,472,46,100,100,0.6742857142857143,982.6973479000008,,,,,,,,,4724,57168,{}
10,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,79,3216.0,0.0,8861.184552599989,,3216.0,1.4696938456699067,10523.18067077455,,459,28,79,79,0.6557142857142857,977.5197088000023,,,,,,,,,4724,57168,{}
Average,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,97.9,3281.8,0.0,8889.39661680972,,3281.8,1.7642282303499983,10312.031870275983,,464.5,,97.9,97.9,0.6637142857142857,1206.6636969900005,,,,,,,,,4724.0,57168.0,{}
Std,comparison,NSGA-II,nsga2,area_s5_t700,nsga2,6.3,41.08722429174305,0.0,96.52335466768815,,41.08722429174305,0.8941469405171126,360.8103989409528,,5.426785420486055,,6.3,6.3,0.007984679207132644,305.2359597385064,,,,,,,,,0.0,0.0,{}
