Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOACO,moaco,area_s5_t800,moaco,77,3867.0,0.0,9677.898395284847,,3867.0,2.4166091947189146,10314.664110962276,,512,69,77,77,0.64,11109.673447599998,,,,,,,,,5329,70830,{}
2,comparison,MOACO,moaco,area_s5_t800,moaco,83,3881.0,0.4,9681.656623112644,,3881.0,4.33589667773576,10589.132495479333,,515,12,83,83,0.645,10121.649994100007,,,,,,,,,5329,70830,{}
3,comparison,MOACO,moaco,area_s5_t800,moaco,69,3834.0,0.0,9902.363765412645,,3834.0,4.707440918375928,11009.377046412617,,509,45,69,69,0.6375,10705.806629800005,,,,,,,,,5329,70830,{}
4,comparison,MOACO,moaco,area_s5_t800,moaco,75,3846.0,0.4,9897.880470079292,,3846.0,2.8284271247461903,10680.459607345978,,510,30,75,75,0.6375,10793.218274899991,,,,,,,,,5329,70830,{}
5,comparison,MOACO,moaco,area_s5_t800,moaco,79,3849.0,0.0,9875.747192745948,,3849.0,2.039607805437114,10910.976402699904,,511,34,79,79,0.63875,9741.673614800005,,,,,,,,,5329,70830,{}
6,comparison,MOACO,moaco,area_s5_t800,moaco,67,3874.0,0.4,9741.418375884825,,3874.0,2.1354156504062622,10693.899915705417,,514,63,67,67,0.6425,10382.753765199988,,,,,,,,,5329,70830,{}
7,comparison,MOACO,moaco,area_s5_t800,moaco,68,3824.0,0.0,9870.526549866532,,3824.0,4.147288270665544,10778.801166563788,,505,18,68,68,0.63375,10383.006947599992,,,,,,,,,5329,70830,{}
8,comparison,MOACO,moaco,area_s5_t800,moaco,80,3844.0,0.4,9887.031461979279,,3844.0,2.638181191654584,10732.345286987245,,509,50,80,80,0.63625,10241.679525100015,,,,,,,,,5329,70830,{}
9,comparison,MOACO,moaco,area_s5_t800,moaco,83,3900.0,0.0,9639.637494279317,,3900.0,4.604345773288535,10495.340114579316,,520,72,83,83,0.65,5600.027373099991,,,,,,,,,5329,70830,{}
10,comparison,MOACO,moaco,area_s5_t800,moaco,97,3834.0,0.4,9826.483381912645,,3834.0,4.578209256903839,10580.674876712643,,509,13,97,97,0.63625,4736.848160699999,,,,,,,,,5329,70830,{}
Average,comparison,MOACO,moaco,area_s5_t800,moaco,77.8,3855.3,0.2,9800.064371055798,,3855.3,3.443142186393267,10678.567102344852,,511.4,,77.8,77.8,0.63975,9381.63377329,,,,,,,,,5329.0,70830.0,{}
Std,comparison,MOACO,moaco,area_s5_t800,moaco,8.52994724485445,22.991520175925732,0.2,98.54352259023726,,22.991520175925732,1.0624367671908725,189.79090927304327,,3.9293765408777,,8.52994724485445,8.52994724485445,0.004602988159880498,2145.428322972976,,,,,,,,,0.0,0.0,{}
