Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,21,6954.0,0.0,24018.733810366728,,6954.0,0.4898979485566356,24389.615102300057,,992,13,21,21,0.992,1706.9777093000012,,,,,,,,,6633,29429,{}
2,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,35,6955.0,0.0,24851.00243393501,,6955.0,0.8,26700.029438536483,,992,16,35,35,0.992,1436.2794102000043,,,,,,,,,6633,29429,{}
3,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,46,6955.0,0.0,24780.358594960777,,6955.0,0.8,26444.371201427388,,992,1,46,46,0.992,1464.5474452999915,,,,,,,,,6633,29429,{}
4,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,20,6955.0,0.0,24984.548617833356,,6955.0,0.8,25290.594276866686,,992,0,20,20,0.992,1359.6840999999986,,,,,,,,,6633,29429,{}
5,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,57,6954.0,0.0,24766.61445687436,,6954.0,0.8,25258.16128447438,,992,15,57,57,0.992,1496.085427099999,,,,,,,,,6633,29429,{}
6,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,53,6949.0,0.0,24658.980748466704,,6949.0,1.16619037896906,24923.05312383337,,991,2,53,53,0.991,1645.9606034000026,,,,,,,,,6633,29429,{}
7,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,6,6949.0,0.4,26311.47594040003,,6949.0,0.7483314773547882,26447.114193000038,,991,1,6,6,0.991,1531.7246019000013,,,,,,,,,6633,29429,{}
8,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,39,6949.0,0.0,24578.34591220005,,6949.0,0.4,25048.91000946672,,991,5,39,39,0.991,1617.3230081000074,,,,,,,,,6633,29429,{}
9,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,17,6955.0,0.0,25276.80475401791,,6955.0,0.4898979485566356,25410.56616195125,,992,1,17,17,0.992,976.8576516999892,,,,,,,,,6633,29429,{}
10,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,19,6949.0,0.0,25819.57773883338,,6949.0,1.7204650534085253,25840.460462433384,,991,6,19,19,0.991,854.0446743000066,,,,,,,,,6633,29429,{}
Average,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,31.3,6952.4,0.04,25004.64430078883,,6952.4,0.8214782806845645,25575.287525428976,,991.6,,31.3,31.3,0.9916,1408.9484631300002,,,,,,,,,6633.0,29429.0,{}
Std,comparison,NSGA-II,nsga2,world_s5_t1000,nsga2,16.27912774076056,2.8,0.12000000000000001,620.4999437415016,,2.8,0.36492935530528625,718.8743810127005,,0.4898979485566356,,16.27912774076056,16.27912774076056,0.000489897948556636,266.8274455676323,,,,,,,,,0.0,0.0,{}
