Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MODBO,modbo,world_s5_t200,modbo,12,1420.0,0.4,4604.650271278314,,1420.0,0.6324555320336759,4846.714313378312,,200,4,12,12,1.0,236.74624839999888,,,,,,,,,1309,4682,{}
2,comparison,MODBO,modbo,world_s5_t200,modbo,7,1420.0,0.0,4677.669712602651,,1420.0,0.0,5103.621453669318,,200,0,7,7,1.0,278.6906555000023,,,,,,,,,1309,4682,{}
3,comparison,MODBO,modbo,world_s5_t200,modbo,11,1420.0,0.0,4599.089299033337,,1420.0,0.0,4953.704415800004,,200,2,11,11,1.0,279.6339816999971,,,,,,,,,1309,4682,{}
4,comparison,MODBO,modbo,world_s5_t200,modbo,8,1420.0,0.0,4515.359119066669,,1420.0,0.0,4956.855700400007,,200,0,8,8,1.0,319.23692290000326,,,,,,,,,1309,4682,{}
5,comparison,MODBO,modbo,world_s5_t200,modbo,6,1420.0,0.0,4719.189187033318,,1420.0,0.0,5241.985517999983,,200,0,6,6,1.0,232.37360679999983,,,,,,,,,1309,4682,{}
6,comparison,MODBO,modbo,world_s5_t200,modbo,9,1420.0,0.0,4628.433373833334,,1420.0,0.0,5149.887299466668,,200,0,9,9,1.0,269.69680309999967,,,,,,,,,1309,4682,{}
7,comparison,MODBO,modbo,world_s5_t200,modbo,3,1420.0,0.0,4592.491750166674,,1420.0,0.0,4785.871595366677,,200,0,3,3,1.0,275.63784470000246,,,,,,,,,1309,4682,{}
8,comparison,MODBO,modbo,world_s5_t200,modbo,7,1420.0,0.0,4438.936358333337,,1420.0,1.2649110640673518,4506.194921466673,,200,0,7,7,1.0,305.6237175999995,,,,,,,,,1309,4682,{}
9,comparison,MODBO,modbo,world_s5_t200,modbo,3,1420.0,0.0,4737.019254166668,,1420.0,0.0,4811.947605600001,,200,0,3,3,1.0,186.76277129999653,,,,,,,,,1309,4682,{}
10,comparison,MODBO,modbo,world_s5_t200,modbo,12,1420.0,0.0,4404.472014778326,,1420.0,0.6324555320336759,4700.947593804439,,200,1,12,12,1.0,132.31198269999004,,,,,,,,,1309,4682,{}
Average,comparison,MODBO,modbo,world_s5_t200,modbo,7.8,1420.0,0.04,4591.731034029263,,1420.0,0.25298221281347033,4905.773041695208,,200.0,,7.8,7.8,1.0,251.67145346999897,,,,,,,,,1309.0,4682.0,{}
Std,comparison,MODBO,modbo,world_s5_t200,modbo,3.1240998703626617,0.0,0.12000000000000001,105.14429035893609,,0.0,0.41952353926806063,210.94195642035368,,0.0,,3.1240998703626617,3.1240998703626617,0.0,53.797927266111735,,,,,,,,,0.0,0.0,{}
