Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,SPEA2,spea2,world_s5_t200,spea2,14,1420.0,0.4,4561.1404850449935,,1420.0,4.732863826479693,5152.784342011652,,200,5,14,14,1.0,313.5280652999936,,,,,,,,,1309,4682,{}
2,comparison,SPEA2,spea2,world_s5_t200,spea2,10,1420.0,0.0,5532.433291982578,,1420.0,0.0,5739.199186793201,,200,0,10,10,1.0,315.937030999994,,,,,,,,,1309,4682,{}
3,comparison,SPEA2,spea2,world_s5_t200,spea2,14,1420.0,0.4898979485566356,5247.79140802823,,1420.0,4.33589667773576,5594.778731461568,,200,4,14,14,1.0,373.06122199998936,,,,,,,,,1309,4682,{}
4,comparison,SPEA2,spea2,world_s5_t200,spea2,4,1420.0,0.0,5148.970335299998,,1420.0,0.0,5224.020639733331,,200,0,4,4,1.0,320.5391226000065,,,,,,,,,1309,4682,{}
5,comparison,SPEA2,spea2,world_s5_t200,spea2,4,1420.0,0.0,4962.290680094905,,1420.0,0.6324555320336759,5096.3420486282375,,200,1,4,4,1.0,239.2180728999956,,,,,,,,,1309,4682,{}
6,comparison,SPEA2,spea2,world_s5_t200,spea2,20,1420.0,0.6324555320336759,4858.359605833331,,1420.0,1.8973665961010275,5071.905505500003,,200,4,20,20,1.0,390.94008570000005,,,,,,,,,1309,4682,{}
7,comparison,SPEA2,spea2,world_s5_t200,spea2,2,1420.0,0.0,5261.511073766673,,1420.0,0.0,5331.180935100008,,200,0,2,2,1.0,312.147962300005,,,,,,,,,1309,4682,{}
8,comparison,SPEA2,spea2,world_s5_t200,spea2,19,1420.0,0.4,5133.818601433333,,1420.0,6.782329983125268,5437.740913799987,,200,8,19,19,1.0,381.694153599994,,,,,,,,,1309,4682,{}
9,comparison,SPEA2,spea2,world_s5_t200,spea2,14,1420.0,0.4,5267.745354233342,,1420.0,4.69041575982343,5558.675513133345,,200,3,14,14,1.0,253.53398720000405,,,,,,,,,1309,4682,{}
10,comparison,SPEA2,spea2,world_s5_t200,spea2,7,1420.0,0.0,5347.399148333335,,1420.0,0.0,5779.7018594666715,,200,0,7,7,1.0,186.93376260000514,,,,,,,,,1309,4682,{}
Average,comparison,SPEA2,spea2,world_s5_t200,spea2,10.8,1420.0,0.23223534805903115,5132.145998405072,,1420.0,2.307132837529885,5398.6329675628,,200.0,,10.8,10.8,1.0,308.75334651999873,,,,,,,,,1309.0,4682.0,{}
Std,comparison,SPEA2,spea2,world_s5_t200,spea2,6.063002556489647,0.0,0.24097041957862933,261.76385825034225,,0.0,2.448905484086983,249.0836167113025,,0.0,,6.063002556489647,6.063002556489647,0.0,62.57771043036849,,,,,,,,,0.0,0.0,{}
