Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOPSO,mopso,world_s5_t400,mopso,9,2774.0,0.4,9219.749173933327,,2774.0,2.039607805437114,9494.6430138,,394,0,9,9,0.985,677.8961930000078,,,,,,,,,2619,9728,{}
2,comparison,MOPSO,mopso,world_s5_t400,mopso,7,2774.0,0.4,9411.010393466675,,2774.0,0.7483314773547882,9742.697925400007,,394,0,7,7,0.985,610.2410718000028,,,,,,,,,2619,9728,{}
3,comparison,MOPSO,mopso,world_s5_t400,mopso,8,2774.0,0.4,9985.555300759672,,2774.0,0.4,10493.603988426335,,394,0,8,8,0.985,606.3572252999875,,,,,,,,,2619,9728,{}
4,comparison,MOPSO,mopso,world_s5_t400,mopso,6,2774.0,0.4,9513.01542809303,,2774.0,0.4,10307.426285533338,,394,0,6,6,0.985,640.2819849999942,,,,,,,,,2619,9728,{}
5,comparison,MOPSO,mopso,world_s5_t400,mopso,10,2774.0,0.4,9902.085580533321,,2774.0,0.4,10696.800633666668,,394,0,10,10,0.985,608.0849102999928,,,,,,,,,2619,9728,{}
6,comparison,MOPSO,mopso,world_s5_t400,mopso,14,2774.0,0.4,10100.805961426353,,2774.0,0.4,10745.114660459683,,394,0,14,14,0.985,599.024411499995,,,,,,,,,2619,9728,{}
7,comparison,MOPSO,mopso,world_s5_t400,mopso,9,2774.0,0.4,9593.202815533326,,2774.0,0.4,10473.793231866674,,394,2,9,9,0.985,618.9018127000018,,,,,,,,,2619,9728,{}
8,comparison,MOPSO,mopso,world_s5_t400,mopso,10,2774.0,0.4,9412.439955933329,,2774.0,0.4,10012.207658799995,,394,0,10,10,0.985,695.4328665000066,,,,,,,,,2619,9728,{}
9,comparison,MOPSO,mopso,world_s5_t400,mopso,7,2774.0,0.4,9913.959445466677,,2774.0,0.4,10829.924348733331,,394,0,7,7,0.985,403.19163750000007,,,,,,,,,2619,9728,{}
10,comparison,MOPSO,mopso,world_s5_t400,mopso,9,2774.0,0.4,10043.519142700014,,2774.0,3.655133376499413,10209.231879466652,,394,0,9,9,0.985,399.81980349999503,,,,,,,,,2619,9728,{}
Average,comparison,MOPSO,mopso,world_s5_t400,mopso,8.9,2774.0,0.4,9709.534319784572,,2774.0,0.9243072659291316,10300.544362615268,,394.0,,8.9,8.9,0.985,585.9231917099984,,,,,,,,,2619.0,9728.0,{}
Std,comparison,MOPSO,mopso,world_s5_t400,mopso,2.118962010041709,0.0,0.0,298.1805392445037,,0.0,1.0323061939902394,418.85381200790044,,0.0,,2.118962010041709,2.118962010041709,0.0,97.05197290533229,,,,,,,,,0.0,0.0,{}
