Run,Index,profit,load,attitude,quality,Node_ids
1,0,2774.0,0.7483314773547882,11725.241954066654,,7 13 21 24 26 40 46 60 64 65 70 86 87 89 95 100 104 108 112 121 126 134 137 138 142 146 152 158 159 164 172 177 185 186 187 196 203 210 230 234 240 243 248 272 275 276 281 299 307 311 325 332 343 352 356 361 364 389 392 396 410 411 415 427 428 430 434 438 449 456 457 461 476 485 489 501 502 509 511 521 524 526 527 533 545 547 551 558 573 583 584 594 599 600 602 603 610 619 622 644 663 665 670 674 680 689 696 704 707 708 710 719 724 733 741 744 756 760 782 789 794 797 801 803 804 805 821 824 826 828 854 856 859 860 862 877 882 888 908 913 919 922 932 944 957 968 980 983 986 1001 1003 1004 1010 1017 1019 1031 1039 1048 1053 1059 1063 1076 1078 1079 1084 1087 1095 1103 1106 1118 1162 1174 1175 1179 1182 1186 1192 1211 1217 1233 1239 1250 1251 1271 1288 1292 1298 1306 1309 1310 1324 1328 1331 1337 1342 1353 1366 1367 1372 1383 1385 1386 1401 1406 1415 1417 1418 1425 1432 1434 1442 1448 1449 1454 1466 1467 1476 1481 1485 1492 1495 1504 1509 1513 1520 1523 1529 1530 1531 1539 1545 1548 1562 1565 1572 1578 1588 1596 1603 1605 1624 1635 1650 1655 1660 1675 1687 1693 1696 1698 1702 1703 1707 1708 1725 1730 1736 1744 1750 1751 1757 1762 1767 1784 1790 1791 1792 1796 1804 1810 1811 1814 1823 1828 1832 1842 1846 1848 1851 1861 1872 1873 1877 1879 1899 1909 1912 1920 1931 1935 1938 1940 1957 1963 1973 1986 1989 1993 2004 2008 2009 2013 2017 2026 2031 2037 2041 2046 2059 2079 2080 2086 2088 2090 2095 2100 2119 2124 2136 2146 2149 2152 2154 2157 2161 2167 2174 2179 2192 2194 2199 2203 2210 2215 2229 2234 2235 2236 2248 2250 2254 2270 2273 2274 2275 2276 2293 2296 2304 2315 2318 2320 2321 2326 2335 2338 2357 2361 2396 2400 2402 2406 2411 2412 2417 2426 2427 2428 2448 2456 2466 2480 2483 2485 2487 2492 2501 2505 2507 2518 2530 2531 2535 2537 2542 2545 2550 2554 2564 2572 2586 2593 2605 2615
1,1,2774.0,1.16619037896906,11705.495903299985,,7 13 21 24 26 40 46 60 64 65 70 86 87 89 95 100 104 108 112 121 126 134 137 138 142 146 152 158 159 164 172 177 185 186 187 196 203 210 230 234 240 243 248 272 275 276 281 299 307 311 325 332 343 352 356 361 364 389 392 396 410 411 415 427 428 430 434 438 449 456 457 461 476 485 489 501 502 509 511 521 524 526 527 533 545 547 551 558 573 583 584 594 599 600 602 603 610 619 622 644 663 665 670 674 680 689 696 704 707 708 710 719 724 733 741 744 756 760 782 789 794 797 801 803 805 821 824 826 828 854 856 859 860 862 877 882 888 908 913 919 922 932 944 957 968 980 983 986 1001 1003 1004 1010 1017 1019 1031 1039 1048 1053 1059 1063 1076 1078 1079 1084 1087 1095 1103 1106 1118 1162 1172 1174 1175 1179 1182 1186 1192 1211 1217 1233 1239 1250 1251 1271 1288 1292 1298 1306 1309 1310 1324 1328 1331 1337 1342 1353 1366 1367 1372 1383 1385 1386 1401 1406 1415 1417 1418 1425 1432 1434 1442 1448 1449 1454 1466 1467 1476 1481 1485 1492 1495 1504 1509 1513 1520 1523 1529 1530 1531 1539 1545 1548 1562 1565 1572 1578 1588 1596 1603 1605 1624 1634 1635 1650 1655 1660 1675 1687 1693 1696 1698 1703 1707 1708 1725 1730 1736 1744 1750 1751 1757 1762 1767 1784 1790 1791 1792 1796 1804 1810 1811 1814 1823 1828 1832 1842 1846 1848 1851 1861 1872 1873 1877 1879 1899 1909 1912 1920 1931 1935 1938 1940 1957 1963 1973 1986 1989 1993 2004 2008 2009 2013 2017 2026 2031 2037 2041 2046 2059 2079 2080 2086 2088 2090 2095 2100 2119 2124 2136 2146 2152 2154 2157 2161 2167 2174 2179 2192 2194 2199 2203 2210 2215 2229 2234 2235 2236 2248 2250 2254 2270 2273 2274 2275 2276 2293 2296 2304 2315 2318 2320 2321 2326 2335 2338 2357 2361 2378 2396 2400 2402 2406 2411 2412 2417 2426 2427 2428 2448 2456 2466 2480 2483 2485 2487 2492 2501 2505 2507 2518 2530 2531 2535 2537 2542 2545 2550 2554 2564 2572 2586 2593 2605 2615
1,2,2767.0,6.6513156593263565,11640.564271466643,,0 6 10 13 15 20 26 30 33 38 58 60 62 65 85 87 89 90 95 110 134 137 143 152 156 159 161 164 171 177 185 196 198 201 203 211 214 232 234 249 260 262 273 276 288 307 311 327 330 332 345 347 352 354 356 365 389 411 416 421 426 430 434 438 449 461 468 486 521 529 530 538 545 551 559 578 583 584 587 590 593 596 599 619 629 632 633 646 650 661 663 670 671 693 696 704 707 719 724 733 741 744 760 764 775 779 782 789 801 803 805 819 828 831 833 837 855 856 859 860 864 873 882 884 889 906 908 922 928 932 936 944 951 956 966 968 969 975 978 979 980 986 990 992 1001 1005 1010 1013 1019 1024 1031 1037 1039 1053 1059 1060 1071 1076 1078 1084 1103 1106 1107 1115 1118 1134 1141 1150 1151 1153 1173 1174 1175 1182 1186 1192 1205 1211 1216 1217 1221 1233 1243 1244 1248 1271 1288 1292 1308 1310 1311 1324 1327 1334 1342 1355 1366 1370 1383 1385 1412 1413 1417 1418 1432 1448 1449 1457 1466 1467 1473 1477 1495 1501 1504 1513 1529 1531 1532 1549 1550 1562 1565 1569 1571 1574 1578 1581 1588 1596 1605 1623 1624 1633 1634 1638 1650 1664 1668 1675 1689 1698 1702 1719 1720 1725 1727 1736 1739 1743 1751 1755 1762 1767 1769 1774 1785 1791 1797 1810 1815 1818 1830 1835 1842 1851 1859 1863 1873 1874 1877 1880 1887 1903 1904 1912 1927 1931 1934 1940 1985 1986 1987 1989 1993 2004 2013 2018 2024 2025 2026 2037 2045 2046 2049 2055 2057 2067 2071 2079 2086 2088 2090 2096 2099 2100 2102 2119 2124 2136 2143 2146 2150 2154 2174 2178 2194 2199 2201 2208 2210 2215 2219 2223 2224 2229 2236 2246 2248 2250 2270 2273 2275 2276 2294 2295 2297 2299 2303 2316 2318 2319 2321 2323 2326 2328 2338 2342 2346 2361 2363 2365 2378 2382 2388 2395 2400 2406 2413 2415 2417 2422 2425 2426 2427 2428 2451 2459 2466 2471 2474 2476 2479 2480 2485 2486 2492 2501 2505 2507 2515 2518 2523 2524 2526 2536 2545 2554 2563 2570 2580 2593 2597
1,3,2774.0,0.4,11773.331870066651,,7 13 21 24 26 40 46 60 64 65 70 86 87 89 95 100 104 108 112 121 126 134 137 138 142 146 152 158 159 164 172 177 185 186 187 196 203 210 230 234 240 243 248 272 275 276 281 299 307 311 325 343 352 356 361 364 389 392 396 410 411 415 427 428 430 434 438 449 456 457 461 476 485 489 501 502 509 511 521 524 526 527 533 545 547 551 558 573 583 584 594 599 600 602 603 610 619 622 644 663 665 670 674 680 689 696 704 707 708 710 719 724 733 741 744 756 760 782 789 794 797 801 803 804 805 821 824 826 828 854 856 859 860 862 871 877 882 888 908 913 919 922 932 944 957 968 980 983 986 1001 1003 1004 1010 1017 1019 1031 1039 1048 1053 1059 1063 1076 1078 1079 1084 1087 1095 1103 1106 1118 1162 1172 1174 1175 1179 1182 1186 1192 1211 1217 1233 1239 1250 1251 1271 1288 1292 1298 1306 1309 1310 1324 1328 1331 1337 1342 1353 1366 1367 1372 1383 1385 1386 1401 1406 1415 1417 1418 1425 1432 1434 1442 1448 1449 1454 1466 1476 1481 1485 1492 1495 1504 1509 1513 1520 1523 1529 1530 1531 1539 1545 1548 1562 1565 1572 1578 1588 1596 1603 1605 1624 1635 1650 1655 1660 1675 1687 1693 1696 1698 1703 1707 1708 1725 1730 1736 1744 1750 1751 1757 1762 1767 1784 1790 1791 1792 1796 1804 1810 1811 1814 1823 1828 1832 1842 1846 1848 1851 1861 1872 1873 1877 1879 1899 1909 1912 1920 1931 1935 1938 1940 1957 1963 1973 1986 1989 1993 2004 2008 2009 2013 2017 2026 2031 2037 2041 2046 2059 2079 2080 2086 2088 2090 2095 2100 2119 2124 2136 2146 2149 2152 2154 2157 2161 2167 2174 2179 2192 2194 2199 2203 2210 2215 2229 2234 2235 2236 2248 2250 2254 2270 2273 2274 2275 2276 2293 2296 2304 2315 2318 2320 2321 2326 2335 2338 2357 2361 2396 2400 2402 2406 2411 2412 2417 2426 2427 2428 2448 2456 2466 2480 2483 2485 2487 2492 2501 2505 2507 2510 2518 2530 2531 2535 2537 2542 2545 2550 2554 2564 2572 2586 2593 2605 2615
2,0,2774.0,0.4,10796.088582233338,,10 13 24 26 45 47 54 72 82 89 93 99 105 125 136 137 152 153 156 159 162 164 165 169 172 173 174 176 177 185 192 194 197 201 214 215 217 219 224 228 236 242 248 272 274 275 278 290 293 294 300 312 334 339 342 343 345 360 362 364 372 378 382 387 389 406 416 421 427 433 439 450 461 483 493 496 502 508 511 521 535 536 545 551 566 574 575 583 587 594 597 611 613 624 629 630 640 642 646 655 658 661 664 670 673 680 686 689 693 710 714 715 723 737 739 746 754 776 782 783 787 790 795 796 801 803 822 827 839 848 855 857 877 893 894 902 906 920 922 931 944 947 956 959 966 967 969 985 988 991 992 998 1010 1023 1025 1031 1039 1040 1054 1058 1061 1067 1070 1079 1082 1089 1090 1098 1112 1125 1126 1131 1137 1139 1152 1159 1166 1175 1181 1184 1190 1192 1196 1201 1207 1208 1230 1245 1247 1249 1253 1260 1265 1268 1271 1289 1295 1296 1297 1298 1302 1317 1334 1339 1347 1351 1369 1381 1387 1389 1395 1396 1398 1400 1402 1408 1419 1424 1430 1443 1446 1451 1455 1467 1476 1511 1512 1529 1532 1537 1540 1543 1552 1554 1569 1573 1582 1586 1600 1604 1611 1620 1627 1635 1640 1648 1650 1651 1666 1679 1681 1693 1695 1696 1699 1703 1708 1730 1734 1754 1756 1759 1769 1770 1794 1802 1815 1820 1833 1838 1843 1848 1854 1856 1863 1867 1892 1895 1900 1909 1911 1912 1918 1934 1936 1937 1945 1956 1978 1987 1989 2001 2005 2006 2008 2009 2011 2016 2024 2026 2027 2032 2034 2035 2037 2043 2046 2056 2057 2061 2070 2073 2090 2091 2096 2100 2106 2109 2116 2117 2120 2128 2134 2136 2146 2154 2157 2166 2167 2170 2185 2186 2202 2210 2219 2223 2226 2233 2240 2245 2248 2262 2264 2271 2290 2299 2307 2322 2328 2332 2335 2355 2357 2374 2381 2382 2389 2392 2393 2397 2407 2413 2421 2427 2428 2433 2447 2462 2465 2467 2479 2486 2493 2494 2507 2508 2523 2524 2527 2528 2536 2541 2549 2553 2555 2560 2564 2569 2578 2585 2591 2595 2599 2602
3,0,2768.0,0.4898979485566356,10774.296597333328,,9 13 22 29 41 45 65 68 89 99 109 113 119 122 126 127 134 137 144 146 153 159 160 161 171 178 181 183 185 186 190 197 199 203 207 210 212 216 219 222 229 236 243 245 259 260 266 269 276 282 294 309 311 321 342 344 361 372 391 392 393 400 403 411 412 422 430 431 459 460 462 474 475 483 485 492 498 504 507 522 526 538 545 548 563 570 579 585 599 602 607 609 625 630 636 642 644 649 654 665 670 672 683 687 697 702 704 714 727 748 761 765 767 773 775 782 785 789 791 796 800 808 810 811 821 822 825 832 834 844 853 856 866 877 879 887 889 893 895 896 904 906 922 946 953 957 960 962 966 969 975 980 984 987 1016 1020 1024 1031 1049 1061 1068 1086 1098 1103 1107 1110 1111 1115 1120 1128 1142 1151 1155 1160 1169 1174 1179 1182 1189 1191 1198 1207 1208 1212 1221 1222 1224 1256 1266 1271 1276 1278 1286 1294 1306 1313 1320 1333 1350 1360 1363 1365 1372 1375 1379 1380 1394 1405 1407 1418 1430 1439 1446 1451 1452 1455 1470 1471 1485 1488 1503 1504 1505 1508 1511 1514 1517 1523 1527 1534 1536 1537 1539 1572 1573 1584 1588 1590 1601 1603 1606 1621 1631 1640 1642 1650 1656 1657 1659 1664 1668 1674 1677 1682 1694 1696 1706 1715 1720 1722 1725 1735 1744 1756 1757 1760 1764 1771 1774 1777 1781 1784 1792 1804 1815 1827 1839 1840 1844 1863 1872 1877 1881 1913 1916 1917 1920 1923 1929 1931 1935 1938 1939 1941 1955 1960 1984 1993 2002 2008 2011 2031 2032 2049 2052 2060 2069 2071 2075 2081 2088 2094 2096 2098 2101 2111 2114 2115 2118 2122 2126 2128 2131 2133 2136 2139 2143 2147 2151 2168 2180 2185 2194 2202 2208 2236 2240 2248 2256 2270 2276 2285 2299 2305 2324 2328 2331 2333 2340 2362 2365 2377 2380 2381 2399 2407 2408 2418 2427 2431 2433 2452 2457 2466 2478 2481 2485 2487 2492 2499 2500 2502 2504 2506 2511 2520 2522 2524 2528 2536 2537 2540 2552 2554 2559 2563 2574 2575 2590 2600 2602 2605 2616
3,1,2768.0,0.8,10770.574831466663,,9 13 22 29 41 45 65 68 89 99 109 113 119 122 126 127 134 137 144 146 153 159 160 161 171 178 181 183 185 186 190 193 197 199 203 207 210 212 216 219 222 229 236 243 245 259 260 266 269 276 282 294 309 311 321 342 344 361 372 391 392 393 400 403 411 412 422 430 431 459 460 462 474 475 483 485 492 498 504 507 522 526 538 545 548 563 570 579 585 599 602 607 609 625 630 636 642 644 649 654 665 670 672 683 687 697 702 704 714 727 748 761 765 767 773 775 782 785 789 791 796 800 808 810 811 821 822 825 832 834 844 853 856 866 877 879 887 889 893 895 896 904 906 922 946 953 957 960 962 966 969 975 980 984 987 1016 1020 1024 1031 1049 1061 1068 1086 1098 1103 1107 1110 1111 1115 1120 1128 1142 1151 1155 1160 1169 1174 1179 1182 1189 1191 1198 1207 1208 1212 1221 1222 1224 1256 1266 1271 1276 1278 1286 1294 1306 1313 1320 1333 1350 1360 1363 1365 1372 1375 1379 1380 1394 1405 1407 1418 1430 1439 1446 1451 1452 1455 1470 1471 1485 1488 1503 1504 1505 1508 1511 1514 1517 1523 1527 1534 1536 1537 1539 1572 1573 1584 1588 1590 1601 1603 1606 1621 1631 1640 1642 1650 1656 1657 1659 1664 1668 1674 1677 1682 1694 1696 1706 1715 1720 1722 1725 1735 1744 1756 1757 1760 1764 1771 1774 1777 1781 1792 1804 1815 1827 1839 1840 1844 1863 1872 1877 1881 1913 1916 1917 1920 1923 1929 1931 1935 1938 1939 1941 1955 1960 1984 1993 2002 2008 2011 2031 2032 2049 2052 2060 2069 2071 2075 2081 2088 2094 2096 2098 2101 2111 2114 2115 2118 2122 2126 2128 2131 2133 2136 2139 2143 2147 2151 2168 2180 2185 2194 2202 2208 2236 2240 2248 2256 2270 2276 2285 2299 2305 2324 2328 2331 2333 2340 2362 2365 2377 2380 2381 2399 2407 2408 2418 2427 2431 2433 2452 2457 2466 2478 2481 2485 2487 2492 2499 2500 2502 2504 2506 2511 2520 2522 2524 2528 2536 2537 2540 2552 2554 2559 2563 2574 2575 2590 2600 2602 2605 2616
3,2,2768.0,1.2,10760.42422613333,,9 13 22 29 41 45 65 68 89 99 109 113 119 122 126 127 134 137 144 146 153 159 160 161 171 178 181 183 185 186 190 193 197 199 203 207 210 212 216 219 222 229 236 243 245 259 260 266 269 276 282 294 309 311 321 342 344 372 391 392 393 400 403 411 412 422 430 431 459 460 462 474 475 483 485 492 498 504 505 507 522 526 538 545 548 563 570 579 585 599 602 607 609 625 630 636 642 644 649 654 665 670 672 683 687 697 702 704 714 727 748 761 765 767 773 775 782 785 789 791 796 800 808 810 811 821 822 825 832 834 844 853 856 866 877 879 887 889 893 895 896 899 904 906 922 946 953 957 960 962 966 969 975 980 984 987 1016 1020 1024 1031 1049 1061 1068 1086 1098 1103 1107 1110 1111 1115 1120 1128 1142 1151 1155 1160 1169 1174 1179 1182 1189 1191 1198 1207 1208 1212 1221 1222 1224 1256 1266 1271 1276 1278 1286 1294 1306 1313 1320 1333 1350 1360 1363 1365 1372 1375 1379 1380 1394 1405 1407 1418 1430 1439 1446 1451 1452 1455 1470 1471 1485 1488 1503 1504 1505 1508 1511 1514 1517 1523 1527 1534 1536 1537 1539 1572 1573 1584 1588 1590 1601 1603 1606 1621 1631 1640 1642 1650 1656 1657 1659 1664 1668 1674 1677 1682 1694 1696 1706 1715 1720 1722 1725 1735 1744 1756 1757 1760 1764 1771 1774 1777 1781 1792 1804 1815 1827 1839 1840 1844 1863 1872 1877 1881 1913 1916 1917 1920 1923 1929 1931 1935 1938 1939 1941 1955 1960 1984 1993 2002 2008 2011 2031 2032 2049 2052 2060 2069 2071 2075 2081 2088 2094 2096 2101 2111 2114 2115 2118 2122 2126 2128 2131 2133 2136 2139 2143 2147 2151 2168 2180 2185 2194 2202 2208 2236 2240 2248 2256 2270 2276 2285 2299 2305 2324 2328 2331 2333 2340 2362 2365 2377 2380 2381 2399 2407 2408 2418 2427 2431 2433 2452 2457 2466 2478 2481 2485 2487 2492 2499 2500 2502 2504 2506 2511 2520 2522 2524 2528 2536 2537 2540 2552 2554 2559 2563 2574 2575 2590 2600 2602 2605 2616
3,3,2774.0,0.4,11456.804786099996,,9 13 15 22 29 41 45 65 68 89 99 109 113 119 122 126 127 134 137 144 146 153 159 160 161 164 171 178 181 183 185 190 193 197 199 203 207 210 212 216 219 222 229 236 243 245 256 259 260 266 269 276 282 294 311 321 342 344 361 372 391 392 393 400 403 405 411 412 431 459 460 462 475 483 485 492 498 504 522 526 538 548 563 570 579 585 599 602 607 609 625 630 636 642 644 649 654 656 665 670 672 683 687 702 704 713 714 727 761 765 767 773 775 782 785 791 796 800 808 810 811 821 822 825 832 834 844 853 856 866 877 879 887 889 893 895 896 904 906 922 937 946 953 957 960 962 966 967 969 975 984 987 1008 1016 1024 1031 1042 1049 1068 1071 1086 1098 1103 1107 1110 1111 1115 1120 1128 1142 1151 1155 1160 1169 1174 1179 1182 1189 1191 1198 1207 1208 1212 1221 1222 1224 1256 1266 1271 1276 1278 1286 1294 1306 1313 1320 1333 1338 1350 1360 1363 1372 1375 1379 1380 1384 1394 1405 1407 1418 1430 1439 1446 1451 1452 1455 1470 1471 1485 1488 1492 1503 1504 1505 1508 1511 1514 1517 1527 1534 1536 1537 1539 1572 1573 1584 1588 1590 1601 1603 1615 1621 1631 1640 1642 1650 1655 1657 1659 1664 1668 1674 1677 1682 1694 1696 1706 1720 1722 1725 1735 1744 1756 1757 1760 1764 1771 1774 1777 1781 1792 1804 1815 1827 1839 1840 1844 1863 1872 1877 1881 1894 1913 1916 1917 1920 1923 1929 1931 1935 1938 1939 1941 1955 1960 1984 1993 2002 2011 2031 2032 2042 2049 2051 2052 2060 2069 2071 2075 2081 2088 2094 2096 2098 2101 2111 2114 2115 2118 2122 2126 2128 2131 2133 2135 2139 2143 2147 2151 2168 2180 2185 2194 2202 2208 2236 2240 2248 2256 2270 2276 2279 2285 2299 2305 2319 2324 2328 2331 2333 2340 2362 2365 2380 2381 2399 2407 2408 2418 2427 2431 2433 2452 2457 2466 2478 2481 2485 2487 2492 2499 2500 2502 2504 2506 2511 2522 2524 2528 2536 2537 2540 2552 2554 2559 2563 2574 2575 2590 2593 2600 2602 2605 2616
3,4,2774.0,0.7483314773547882,11451.188092766663,,9 13 15 22 29 41 45 65 68 89 99 109 113 119 122 126 127 134 137 144 146 153 159 160 161 164 171 178 181 183 185 190 193 197 199 203 207 210 212 216 219 222 229 236 243 245 256 259 260 266 269 276 282 294 311 321 342 344 361 372 391 392 393 400 403 405 411 412 431 459 460 462 475 483 485 492 498 504 522 526 538 548 563 570 579 585 599 602 607 609 625 630 636 642 644 649 654 656 665 670 672 683 687 702 704 713 714 727 765 767 773 775 782 785 791 796 800 808 810 811 821 822 825 832 834 844 853 856 866 877 879 887 889 893 895 896 904 906 922 937 946 953 957 960 962 966 967 969 975 984 987 1008 1016 1024 1031 1042 1049 1068 1071 1086 1098 1103 1107 1110 1111 1115 1120 1128 1142 1151 1155 1160 1169 1174 1179 1182 1189 1191 1198 1207 1208 1212 1221 1222 1224 1256 1266 1271 1276 1278 1286 1291 1294 1306 1313 1320 1333 1338 1350 1360 1363 1372 1375 1379 1380 1384 1394 1405 1407 1418 1430 1439 1446 1451 1452 1455 1470 1471 1485 1488 1492 1503 1504 1505 1508 1511 1514 1517 1527 1534 1536 1537 1539 1572 1573 1584 1588 1590 1601 1603 1615 1621 1631 1640 1642 1650 1655 1657 1659 1664 1668 1674 1677 1682 1694 1696 1706 1720 1722 1725 1735 1744 1756 1757 1760 1764 1771 1774 1777 1781 1792 1804 1815 1827 1839 1840 1844 1863 1872 1877 1881 1894 1913 1916 1917 1920 1923 1929 1931 1935 1938 1939 1941 1955 1960 1984 1993 2002 2011 2031 2032 2042 2049 2051 2052 2060 2069 2071 2075 2081 2088 2094 2096 2098 2101 2111 2114 2115 2118 2122 2126 2128 2131 2133 2135 2139 2143 2147 2151 2168 2180 2185 2194 2202 2208 2236 2240 2248 2256 2270 2276 2279 2285 2299 2305 2319 2324 2328 2331 2333 2340 2362 2365 2380 2381 2399 2407 2408 2418 2427 2431 2433 2452 2457 2466 2478 2481 2485 2487 2492 2499 2500 2502 2504 2506 2511 2522 2524 2528 2536 2537 2540 2552 2554 2559 2563 2574 2575 2590 2593 2600 2602 2605 2616
