Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,MOACO,area_s5_t300,100,0.2612359550561798,1424.5553826378812,0.4,0.7033333333333334,363.3358982000209,2084,30547
2,MOACO,area_s5_t300,100,0.2626404494382022,1441.6257750235807,0.0,0.7,379.8860207000107,2084,30547
3,MOACO,area_s5_t300,100,0.26217228464419473,1435.963562333815,0.4,0.7,372.9521141999867,2084,30547
4,MOACO,area_s5_t300,100,0.26029962546816476,1420.1086133578021,0.4,0.7066666666666667,378.1230305999925,2084,30547
5,MOACO,area_s5_t300,100,0.26310861423220977,1415.6824266899048,0.0,0.7033333333333334,389.6888512999867,2084,30547
6,MOACO,area_s5_t300,100,0.25936329588014984,1406.5851375379696,0.4,0.7033333333333334,384.61723110001185,2084,30547
7,MOACO,area_s5_t300,100,0.26310861423220977,1425.2381657839458,0.0,0.7033333333333334,390.5736523999949,2084,30547
8,MOACO,area_s5_t300,100,0.26638576779026213,1427.774576867316,0.0,0.7066666666666667,385.00708089998807,2084,30547
9,MOACO,area_s5_t300,100,0.25187265917602997,1424.340796317877,0.0,0.71,389.86169640001026,2084,30547
10,MOACO,area_s5_t300,100,0.2654494382022472,1409.8731776399754,0.4,0.6966666666666667,380.6288599000254,2084,30547
Average,MOACO,area_s5_t300,100.0,0.261563670411985,1423.1747614190067,0.2,0.7033333333333334,381.4674435700028,2084.0,30547.0
Std,MOACO,area_s5_t300,0.0,0.0038094348064491245,10.248702937996196,0.2,0.003651483716701111,8.11838191739592,0.0,0.0
