Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,CG-MOACO,area_s5_t500,100,0.3807483576121108,1755.8740948975758,0.4,0.584,2586.5029467000004,3639,82754
2,CG-MOACO,area_s5_t500,100,0.39188803199085975,1749.5849999644975,0.4,0.568,2766.979942600001,3639,82754
3,CG-MOACO,area_s5_t500,100,0.3833190516995144,1769.910246421523,0.4,0.58,2770.4881243,3639,82754
4,CG-MOACO,area_s5_t500,100,0.3873179091688089,1741.451041205199,0.4,0.574,2584.0724314,3639,82754
5,CG-MOACO,area_s5_t500,100,0.38846043987432166,1734.4627971976588,0.4,0.574,2489.5857784,3639,82754
6,CG-MOACO,area_s5_t500,100,0.3821765209940017,1767.1627961017448,0.4,0.578,2579.6778873999974,3639,82754
7,CG-MOACO,area_s5_t500,100,0.390745501285347,1767.2360284399115,0.4,0.57,2459.4061662999993,3639,82754
8,CG-MOACO,area_s5_t500,100,0.37903456155384174,1747.6102674173355,0.4,0.578,2290.6790177000003,3639,82754
9,CG-MOACO,area_s5_t500,100,0.38389031705227084,1755.981905569621,0.4,0.578,2296.592898199997,3639,82754
10,CG-MOACO,area_s5_t500,100,0.390745501285347,1765.9598138163926,0.4,0.568,2290.893447800001,3639,82754
Average,CG-MOACO,area_s5_t500,100.0,0.38583261925164236,1755.523399103146,0.4,0.5751999999999999,2511.48786408,3639.0,82754.0
Std,CG-MOACO,area_s5_t500,0.0,0.004354001488098544,11.525437253557195,0.0,0.005075431016179813,171.66638936883533,0.0,0.0
