Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,SFMODBO,area_s5_t500,99,0.5187089403027707,1693.0613040866037,0.4,0.478,61.41941030000089,3639,82754
2,SFMODBO,area_s5_t500,87,0.5212796343901742,1672.262580068354,0.4898979485566356,0.484,61.78034350000053,3639,82754
3,SFMODBO,area_s5_t500,98,0.5378463296201086,1647.27697155032,0.4,0.46,61.93109799999911,3639,82754
4,SFMODBO,area_s5_t500,74,0.527277920594116,1654.308436946747,0.4,0.462,61.89507319999939,3639,82754
5,SFMODBO,area_s5_t500,100,0.5227077977720651,1675.893666167915,0.4,0.482,62.583715999999185,3639,82754
6,SFMODBO,area_s5_t500,100,0.5229934304484434,1637.3735487727442,0.0,0.476,63.39435090000006,3639,82754
7,SFMODBO,area_s5_t500,100,0.5227077977720651,1652.3285938587615,0.4,0.48,62.434007899999415,3639,82754
8,SFMODBO,area_s5_t500,100,0.5187089403027707,1641.0473011326346,0.0,0.478,63.53021989999979,3639,82754
9,SFMODBO,area_s5_t500,94,0.5347043701799485,1673.957885602263,0.4,0.462,63.00493970000025,3639,82754
10,SFMODBO,area_s5_t500,96,0.5324193087689232,1668.1604683421947,0.0,0.468,62.89797230000113,3639,82754
Average,SFMODBO,area_s5_t500,94.8,0.5259354470151385,1661.5670756528539,0.28898979485566356,0.473,62.48711316999997,3639.0,82754.0
Std,SFMODBO,area_s5_t500,7.9473265945222105,0.0064669786371231285,16.90316177444245,0.19101020514433645,0.008637129152675655,0.6826002304156176,0.0,0.0
